Game,EGO,Spread,Spread Target,Pick
NO @ DAL,6.93,-7.5,"[-8.5, -10.5]",
ARI @ GB,-12.61,13.5,"[16.5, 14.0]",
BAL @ ATL,2.88,2.5,"[1.0, -1.5]",
BUF @ MIA,-5.0,3.5,"[3.5, 1.5]",MIA
CAR @ TB,3.2,-3.5,"[-4.5, -7.0]",
CHI @ NYG,4.11,-4.0,"[-0.5, -2.5]",
CLE @ HOU,-6.3,5.0,"[5.0, 2.5]",HOU
DEN @ CIN,5.06,-4.0,"[-1.5, -3.5]",
IND @ JAX,1.39,-4.0,"[-3.0, -5.0]",JAX
LAR @ DET,10.11,-10.5,"[-11.5, -14.0]",
KC @ OAK,14.57,-14.0,"[-11.0, -13.0]",
NYJ @ TEN,-3.31,10.5,"[7.0, 5.0]",
MIN @ NE,-3.23,6.0,"[7.0, 4.5]",MIN
SF @ SEA,-9.79,10.0,"[13.5, 11.5]",
LAC @ PIT,0.25,3.0,"[3.5, 1.0]",LAC
WAS @ PHI,-1.5,5.5,"[5.0, 3.0]",
