Game,EGO,Spread,Spread Target,Pick
ARI @ STL,-4.85,4.5,"[3.5, 1.0]",
CIN @ CLE,-2.14,1.0,"[0.5, -1.5]",
GB @ BUF,1.17,-4.0,"[-2.5, -5.0]",BUF
HOU @ IND,-5.64,6.5,"[9.5, 7.0]",
JAC @ BAL,-12.73,13.5,"[16.5, 14.0]",
MIA @ NE,-5.6,7.5,"[9.5, 7.0]",MIA
PIT @ ATL,0.41,-3.0,"[-2.0, -4.0]",ATL
WAS @ NYG,-8.06,6.5,"[6.5, 4.5]",NYG
OAK @ KC,-10.38,10.0,"[9.0, 6.5]",
TB @ CAR,-3.8,3.0,"[2.5, 0.0]",
DEN @ SD,4.96,-4.5,"[-1.5, -3.5]",
NYJ @ TEN,2.25,-3.0,"[-4.0, -6.0]",
MIN @ DET,-5.81,7.5,"[9.5, 7.5]",MIN
SF @ SEA,-7.34,9.5,"[11.0, 9.0]",SF
DAL @ PHI,-4.72,3.0,"[3.0, 1.0]",PHI
NO @ CHI,1.71,-3.0,"[-3.0, -5.5]",CHI
