TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,3.3%,10,3.4%,12,3-4-1,-8.9%,26,-18.3%,4,-6.0%,30
ATL,19.5%,7,19.6%,5,5-3,23.3%,1,8.1%,26,4.3%,5
BAL,-3.7%,19,-3.8%,20,3-4,-19.7%,30,-15.3%,6,0.7%,13
BUF,8.9%,9,8.8%,9,4-4,9.3%,8,1.5%,17,1.2%,11
CAR,-4.0%,24,-4.0%,21,2-5,1.4%,14,0.8%,16,-4.6%,27
CHI,2.9%,22,3.2%,13,2-6,2.0%,13,-0.3%,15,0.5%,15
CIN,-0.6%,18,-0.8%,19,3-4-1,12.8%,6,7.5%,24,-5.9%,29
CLE,-30.9%,32,-30.9%,32,0-8,-8.5%,25,19.2%,30,-3.3%,24
DAL,21.8%,5,22.1%,2,6-1,21.6%,2,-1.3%,14,-1.1%,21
DEN,20.3%,3,20.2%,3,6-2,-4.1%,21,-24.0%,2,0.5%,16
DET,-12.1%,28,-11.9%,24,4-4,5.7%,11,22.2%,32,4.5%,4
GB,12.1%,8,12.1%,7,4-3,3.6%,12,-8.1%,8,0.4%,17
HOU,-25.8%,30,-26.2%,30,5-3,-22.4%,32,-3.3%,12,-6.7%,32
IND,-15.3%,27,-15.4%,27,3-5,-0.6%,15,19.6%,31,4.9%,3
JAC,-15.2%,26,-15.4%,28,2-5,-13.3%,28,1.5%,18,-0.4%,20
KC,5.5%,12,5.8%,10,5-2,-3.5%,20,-5.7%,9,3.2%,6
LARM,-12.2%,25,-12.3%,25,3-4,-21.0%,31,-3.7%,11,5.0%,2
MIA,1.2%,16,1.6%,18,3-4,-1.6%,17,-3.0%,13,-0.2%,19
MIN,11.9%,4,11.5%,8,5-2,-8.4%,24,-18.1%,5,2.1%,8
NE,19.6%,6,20.2%,4,7-1,19.2%,3,2.1%,19,2.4%,7
NO,-5.6%,21,-5.6%,23,3-4,13.0%,5,17.1%,29,-1.5%,22
NYG,2.4%,13,2.5%,17,4-3,-3.4%,19,-5.2%,10,0.6%,14
NYJ,-30.6%,31,-30.6%,31,3-5,-15.1%,29,11.0%,27,-4.5%,26
OAK,4.5%,17,4.2%,11,6-2,14.4%,4,11.1%,28,1.2%,10
PHI,28.6%,1,28.3%,1,4-3,-6.4%,23,-25.1%,1,9.9%,1
PIT,3.5%,14,3.1%,14,4-3,9.7%,7,8.0%,25,1.8%,9
SD,2.9%,11,2.9%,15,3-5,-1.2%,16,-8.3%,7,-4.3%,25
SEA,19.1%,2,18.8%,6,4-2-1,-3.3%,18,-21.7%,3,0.7%,12
SF,-22.2%,29,-22.4%,29,1-6,-11.9%,27,7.3%,23,-2.9%,23
TB,-13.3%,23,-13.1%,26,3-4,-5.8%,22,2.6%,20,-4.9%,28
TEN,-4.7%,20,-4.4%,22,4-4,7.9%,9,6.1%,22,-6.5%,31
WAS,2.7%,15,2.8%,16,4-3-1,6.1%,10,3.7%,21,0.3%,18
