Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,PIT,14,Sun,December 8,4:25PM,1,boxscore,17,23,275,2,236,3,-9.0%,2.5
ATL,CAR,14,Sun,December 8,1:00PM,1,boxscore,40,20,461,0,345,4,-13.7%,-3.5
BAL,BUF,14,Sun,December 8,1:00PM,0,boxscore,24,17,257,1,209,1,44.7%,-6.5
BUF,BAL,14,Sun,December 8,1:00PM,1,boxscore,17,24,257,1,209,1,7.3%,6.5
CAR,ATL,14,Sun,December 8,1:00PM,0,boxscore,20,40,461,0,345,4,-21.3%,3.5
CHI,DAL,14,Thu,December 5,8:20PM,1,boxscore,31,24,382,2,408,0,-4.2%,3.0
CIN,CLE,14,Sun,December 8,1:00PM,0,boxscore,19,27,333,2,451,1,-28.2%,6.5
CLE,CIN,14,Sun,December 8,1:00PM,1,boxscore,27,19,333,2,451,1,2.0%,-6.5
DAL,CHI,14,Thu,December 5,8:20PM,0,boxscore,24,31,382,2,408,0,15.4%,-3.0
DEN,HOU,14,Sun,December 8,1:00PM,0,boxscore,38,24,391,1,414,3,-10.2%,8.0
DET,MIN,14,Sun,December 8,1:00PM,0,boxscore,7,20,354,0,231,2,-10.7%,12.0
GB,WAS,14,Sun,December 8,1:00PM,1,boxscore,20,15,341,1,262,1,5.1%,-13.0
HOU,DEN,14,Sun,December 8,1:00PM,1,boxscore,24,38,391,1,414,3,-1.6%,-8.0
IND,TB,14,Sun,December 8,1:00PM,0,boxscore,35,38,542,4,309,1,0.8%,3.0
JAX,LAC,14,Sun,December 8,4:05PM,1,boxscore,10,45,525,0,252,0,-17.4%,3.5
KC,NE,14,Sun,December 8,4:25PM,0,boxscore,23,16,346,2,278,1,27.0%,3.0
LAC,JAX,14,Sun,December 8,4:05PM,0,boxscore,45,10,525,0,252,0,-8.4%,-3.5
LAR,SEA,14,Sun,December 8,8:20PM,1,boxscore,28,12,455,2,308,1,4.2%,-1.0
MIA,NYJ,14,Sun,December 8,1:00PM,0,boxscore,21,22,374,1,362,1,-38.7%,5.0
MIN,DET,14,Sun,December 8,1:00PM,1,boxscore,20,7,354,0,231,2,17.0%,-12.0
NE,KC,14,Sun,December 8,4:25PM,1,boxscore,16,23,346,2,278,1,32.7%,-3.0
NO,SF,14,Sun,December 8,1:00PM,1,boxscore,46,48,516,1,465,1,25.3%,-1.0
NYG,PHI,14,Mon,December 9,8:15PM,0,boxscore,17,23,418,1,255,0,-23.3%,9.5
NYJ,MIA,14,Sun,December 8,1:00PM,1,boxscore,22,21,374,1,362,1,-16.1%,-5.0
OAK,TEN,14,Sun,December 8,4:25PM,1,boxscore,21,42,552,1,355,1,-15.4%,3.0
PHI,NYG,14,Mon,December 9,8:15PM,1,boxscore,23,17,418,1,255,0,4.2%,-9.5
PIT,ARI,14,Sun,December 8,4:25PM,0,boxscore,23,17,275,2,236,3,1.9%,-2.5
SEA,LAR,14,Sun,December 8,8:20PM,0,boxscore,12,28,455,2,308,1,23.8%,1.0
SF,NO,14,Sun,December 8,1:00PM,0,boxscore,48,46,516,1,465,1,33.0%,1.0
TB,IND,14,Sun,December 8,1:00PM,1,boxscore,38,35,542,4,309,1,-1.9%,-3.0
TEN,OAK,14,Sun,December 8,4:25PM,0,boxscore,42,21,552,1,355,1,-1.4%,-3.0
WAS,GB,14,Sun,December 8,1:00PM,0,boxscore,15,20,341,1,262,1,-29.0%,13.0
