TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,-11.9%,19,-9.0%,21,3-8-1,2.0%,14,12.4%,29,-1.6%,23
ATL,-15.5%,28,-13.7%,24,3-9,-4.4%,21,8.1%,26,-3.1%,30
BAL,42.5%,2,44.7%,1,10-2,29.6%,1,-9.4%,4,3.6%,2
BUF,4.2%,14,7.3%,9,9-3,-1.6%,19,-7.9%,6,-2.1%,28
CAR,-17.2%,27,-21.3%,28,5-7,-10.3%,24,5.1%,21,-1.8%,27
CHI,-2.8%,20,-4.2%,19,6-6,-11.4%,25,-7.2%,8,1.4%,9
CIN,-28.2%,31,-28.2%,30,1-11,-19.1%,30,13.7%,30,4.6%,1
CLE,0.0%,11,2.0%,13,5-7,-0.7%,17,-0.7%,17,0.0%,16
DAL,16.5%,5,15.4%,8,6-6,25.7%,2,4.2%,20,-5.0%,32
DEN,-11.7%,25,-10.2%,22,4-8,-13.2%,26,-3.1%,12,-1.7%,25
DET,-8.0%,17,-10.7%,23,3-8-1,1.3%,16,10.7%,28,1.3%,10
GB,5.8%,10,5.1%,10,9-3,11.1%,7,5.3%,22,0.1%,15
HOU,0.0%,18,-1.6%,17,8-4,5.7%,8,8.0%,25,2.2%,6
IND,-0.9%,13,0.8%,15,6-6,-0.7%,18,-2.2%,14,-2.4%,29
JAX,-14.3%,23,-17.4%,27,4-8,-9.1%,23,6.4%,24,1.2%,11
KC,26.8%,4,27.0%,4,8-4,22.0%,3,-2.1%,15,2.7%,4
LAC,-7.7%,22,-8.4%,20,4-8,1.5%,15,5.7%,23,-3.5%,31
LAR,3.6%,15,4.2%,12,7-5,-3.8%,20,-8.0%,5,-0.6%,21
MIA,-43.7%,32,-38.7%,32,3-9,-18.8%,29,24.9%,32,0.0%,17
MIN,16.3%,7,17.0%,7,8-4,12.6%,6,-3.8%,11,-0.2%,18
NE,36.9%,1,32.7%,3,10-2,4.9%,10,-31.3%,1,0.6%,13
NO,23.3%,6,25.3%,5,10-2,13.4%,5,-7.4%,7,2.5%,5
NYG,-22.9%,29,-23.3%,29,2-10,-13.3%,27,9.2%,27,-0.4%,20
NYJ,-17.7%,26,-16.1%,26,4-8,-25.5%,31,-4.5%,10,3.3%,3
OAK,-11.3%,24,-15.4%,25,6-6,4.5%,11,14.1%,31,-1.7%,26
PHI,4.8%,9,4.2%,11,5-7,2.3%,13,-2.9%,13,-0.4%,19
PIT,0.2%,16,1.9%,14,7-5,-17.3%,28,-15.5%,3,2.0%,7
SEA,21.1%,8,23.8%,6,10-2,21.3%,4,-1.2%,16,-1.5%,22
SF,35.0%,3,33.0%,2,10-2,5.4%,9,-28.9%,2,0.7%,12
TB,-1.9%,21,-1.9%,18,5-7,-7.1%,22,-4.6%,9,0.5%,14
TEN,-0.4%,12,-1.4%,16,7-5,2.9%,12,1.6%,18,-1.7%,24
WAS,-28.1%,30,-29.0%,31,3-9,-26.7%,32,3.3%,19,1.9%,8
