Game,EGO,Spread,Spread Target,Pick
DAL @ CHI,2.14,-3.0,"[-3.5, -6.0]",
BAL @ BUF,6.21,-6.5,"[-7.5, -10.0]",
CAR @ ATL,-3.88,3.5,"[2.5, 0.0]",
CIN @ CLE,-8.69,6.5,"[7.0, 5.0]",CLE
DEN @ HOU,-4.1,8.0,"[8.0, 5.5]",DEN
DET @ MIN,-8.16,12.0,"[12.0, 9.5]",DET
IND @ TB,-1.63,3.0,"[5.5, 3.0]",IND
MIA @ NYJ,-7.09,5.0,"[5.5, 3.5]",NYJ
SF @ NO,-0.53,1.0,"[4.0, 2.0]",
WAS @ GB,-9.5,13.0,"[13.0, 11.0]",WAS
LAC @ JAX,-0.24,-3.5,"[-1.5, -3.5]",JAX
KC @ NE,-3.47,3.0,"[2.0, -0.0]",
PIT @ ARI,0.18,-2.5,"[-1.5, -4.0]",ARI
TEN @ OAK,0.88,-3.0,"[-2.5, -4.5]",OAK
SEA @ LAR,2.14,1.0,"[1.5, -0.5]",SEA
NYG @ PHI,-8.12,9.5,"[12.0, 9.5]",NYG
