Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+6.5 / -6.5,BUF,DAL,-,+6.5 / -6.5
-5.5 / 5.5,CHI,DET,-,-5.5 / 5.5
-1.0 / 1.0,CLE,PIT,-,-1.0 / 1.0
-6.5 / 6.5,GNB,NYG,-,-6.5 / 6.5
-4.5 / 4.5,LAC,DEN,-,-4.5 / 4.5
-2.5 / 2.5,LAR,ARI,-,-2.5 / 2.5
+2.5 / -2.5,MIN,SEA,-,+2.5 / -2.5
-7.0 / 7.0,NOR,ATL,-,-7.0 / 7.0
-3.5 / 3.5,NWE,HOU,-,-3.5 / 3.5
-2.5 / 2.5,NYJ,CIN,-,-2.5 / 2.5
+11.5 / -11.5,OAK,KAN,-,+11.5 / -11.5
-10.5 / 10.5,PHI,MIA,-,-10.5 / 10.5
+5.5 / -5.5,SFO,BAL,-,+5.5 / -5.5
-3.0 / 3.0,TAM,JAX,-,-3.0 / 3.0
-1.0 / 1.0,TEN,IND,-,-1.0 / 1.0
+10.5 / -10.5,WAS,CAR,-,+10.5 / -10.5
