Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD
2019,ARI,LAR,13,Sun,4:05PM,1,-2.9%,2.5,-27,-24.5
2019,ATL,NO,13,Thu,8:20PM,1,-15.1%,7.0,-8,-1.0
2019,BAL,SF,13,Sun,1:00PM,1,44.0%,-5.5,3,-2.5
2019,BUF,DAL,13,Thu,4:30PM,0,0.4%,6.5,11,17.5
2019,CAR,WAS,13,Sun,1:00PM,1,-16.6%,-10.5,-8,-18.5
2019,CHI,DET,13,Thu,12:30PM,0,-7.8%,-5.5,4,-1.5
2019,CIN,NYJ,13,Sun,1:00PM,1,-33.2%,2.5,16,18.5
2019,CLE,PIT,13,Sun,1:00PM,0,1.0%,-1.0,-7,-8.0
2019,DAL,BUF,13,Thu,4:30PM,1,22.4%,-6.5,-11,-17.5
2019,DEN,LAC,13,Sun,4:25PM,1,-11.1%,4.5,3,7.5
2019,DET,CHI,13,Thu,12:30PM,1,-6.5%,5.5,-4,1.5
2019,GB,NYG,13,Sun,1:00PM,0,4.0%,-6.5,18,11.5
2019,HOU,NE,13,Sun,8:20PM,1,-5.8%,3.5,6,9.5
2019,IND,TEN,13,Sun,1:00PM,1,1.2%,1.0,-14,-13.0
2019,JAX,TB,13,Sun,1:00PM,1,-9.8%,3.0,-17,-14.0
2019,KC,OAK,13,Sun,4:25PM,1,26.7%,-11.5,31,19.5
2019,LAC,DEN,13,Sun,4:25PM,0,-7.6%,-4.5,-3,-7.5
2019,LAR,ARI,13,Sun,4:05PM,0,-3.6%,-2.5,27,24.5
2019,MIA,PHI,13,Sun,1:00PM,1,-44.3%,10.5,6,16.5
2019,MIN,SEA,13,Mon,8:15PM,0,19.2%,2.5,-7,-4.5
2019,NE,HOU,13,Sun,8:20PM,0,41.4%,-3.5,-6,-9.5
2019,NO,ATL,13,Thu,8:20PM,0,22.6%,-7.0,8,1.0
2019,NYG,GB,13,Sun,1:00PM,1,-22.8%,6.5,-18,-11.5
2019,NYJ,CIN,13,Sun,1:00PM,0,-10.6%,-2.5,-16,-18.5
2019,OAK,KC,13,Sun,4:25PM,0,-10.0%,11.5,-31,-19.5
2019,PHI,MIA,13,Sun,1:00PM,0,9.5%,-10.5,-6,-16.5
2019,PIT,CLE,13,Sun,1:00PM,1,-3.9%,1.0,7,8.0
2019,SEA,MIN,13,Mon,8:15PM,1,18.5%,-2.5,7,4.5
2019,SF,BAL,13,Sun,1:00PM,0,33.8%,5.5,-3,2.5
2019,TB,JAX,13,Sun,1:00PM,0,-7.2%,-3.0,17,14.0
2019,TEN,IND,13,Sun,1:00PM,0,0.6%,-1.0,14,13.0
2019,WAS,CAR,13,Sun,1:00PM,0,-32.8%,10.5,8,18.5
