Game,EGO,Spread,Spread Target,Pick
DEN @ HOU,0.9,-2.5,"[-2.5, -4.5]",HOU
GB @ STL,12.34,-7.0,"[-8.5, -11.0]",
TEN @ KC,1.41,-3.5,"[-3.0, -5.0]",KC
NYJ @ NE,-17.04,20.5,"[20.5, 18.5]",NYJ
SEA @ CAR,9.08,-8.0,"[-5.5, -7.5]",
ARI @ NO,-4.81,3.5,"[3.5, 1.0]",NO
ATL @ TB,-11.39,12.5,"[15.0, 13.0]",
BAL @ MIA,3.61,-3.0,"[0.0, -2.0]",
BUF @ CLE,-3.99,5.0,"[7.5, 5.5]",
JAC @ PIT,-0.73,3.0,"[4.5, 2.0]",JAC
IND @ OAK,10.35,-10.0,"[-6.5, -9.0]",
DET @ SD,-9.17,9.5,"[13.0, 10.5]",
PHI @ DAL,-10.45,10.0,"[9.0, 6.5]",
WAS @ NYG,-2.58,6.5,"[6.5, 4.0]",WAS
CIN @ SF,9.83,-8.5,"[-6.0, -8.5]",CIN
CHI @ MIN,-7.32,10.5,"[11.0, 9.0]",CHI
