Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,NO,15,Sun,December 16,1:03PM,0,boxscore,24,31,421,2,317,2,-11.0%,3.5
ATL,TB,15,Sun,December 16,1:03PM,0,boxscore,3,37,285,1,133,4,-26.9%,12.5
BAL,MIA,15,Sun,December 16,1:03PM,0,boxscore,16,22,360,0,345,1,-9.9%,-3.0
BUF,CLE,15,Sun,December 16,1:03PM,0,boxscore,0,8,304,0,232,0,4.4%,5.0
CAR,SEA,15,Sun,December 16,1:02PM,1,boxscore,13,10,322,0,282,1,-32.0%,8.0
CHI,MIN,15,Mon,December 17,8:40PM,0,boxscore,13,20,372,4,209,1,-5.8%,10.5
CIN,SF,15,Sat,December 15,8:15PM,0,boxscore,13,20,337,0,313,0,7.3%,-8.5
CLE,BUF,15,Sun,December 16,1:03PM,1,boxscore,8,0,304,0,232,0,12.5%,-5.0
DAL,PHI,15,Sun,December 16,4:15PM,1,boxscore,6,10,315,1,240,3,39.4%,-10.0
DEN,HOU,15,Thu,December 13,8:15PM,0,boxscore,13,31,358,1,308,0,2.4%,-2.5
DET,SD,15,Sun,December 16,4:15PM,0,boxscore,14,51,416,0,328,6,-13.8%,9.5
GB,STL,15,Sun,December 16,1:00PM,0,boxscore,33,14,277,3,364,2,29.6%,-7.0
HOU,DEN,15,Thu,December 13,8:15PM,1,boxscore,31,13,358,1,308,0,-11.7%,2.5
IND,OAK,15,Sun,December 16,4:05PM,0,boxscore,21,14,322,1,253,0,30.6%,-10.0
JAC,PIT,15,Sun,December 16,1:03PM,0,boxscore,29,22,421,1,217,0,23.4%,3.0
KC,TEN,15,Sun,December 16,1:00PM,1,boxscore,17,26,327,0,306,3,-20.5%,3.5
MIA,BAL,15,Sun,December 16,1:03PM,1,boxscore,22,16,360,0,345,1,-36.0%,3.0
MIN,CHI,15,Mon,December 17,8:40PM,1,boxscore,20,13,372,4,209,1,17.9%,-10.5
NE,NYJ,15,Sun,December 16,1:02PM,1,boxscore,20,10,265,1,234,2,57.8%,-20.5
NO,ARI,15,Sun,December 16,1:03PM,1,boxscore,31,24,421,2,317,2,0.9%,-3.5
NYG,WAS,15,Sun,December 16,8:24PM,1,boxscore,10,22,309,0,307,1,0.3%,-6.5
NYJ,NE,15,Sun,December 16,1:02PM,0,boxscore,10,20,265,1,234,2,-13.9%,20.5
OAK,IND,15,Sun,December 16,4:05PM,1,boxscore,14,21,322,1,253,0,-24.3%,10.0
PHI,DAL,15,Sun,December 16,4:15PM,0,boxscore,10,6,315,1,240,3,0.7%,10.0
PIT,JAC,15,Sun,December 16,1:03PM,1,boxscore,22,29,421,1,217,0,16.6%,-3.0
SD,DET,15,Sun,December 16,4:15PM,1,boxscore,51,14,416,0,328,6,18.7%,-9.5
SEA,CAR,15,Sun,December 16,1:02PM,0,boxscore,10,13,322,0,282,1,17.6%,-8.0
SF,CIN,15,Sat,December 15,8:15PM,1,boxscore,20,13,337,0,313,0,-45.4%,8.5
STL,GB,15,Sun,December 16,1:00PM,1,boxscore,14,33,277,3,364,2,-33.6%,7.0
TB,ATL,15,Sun,December 16,1:03PM,1,boxscore,37,3,285,1,133,4,16.4%,-12.5
TEN,KC,15,Sun,December 16,1:00PM,0,boxscore,26,17,327,0,306,3,-4.1%,-3.5
WAS,NYG,15,Sun,December 16,8:24PM,0,boxscore,22,10,309,0,307,1,-1.3%,6.5
