Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+3.5 / -3.5,ARI,NOR,-,+3.5 / -3.5
+12.5 / -12.5,ATL,TAM,-,+12.5 / -12.5
-3.0 / 3.0,BAL,MIA,-,-3.0 / 3.0
+5.0 / -5.0,BUF,CLE,-,+5.0 / -5.0
+10.5 / -10.5,CHI,MIN,-,+10.5 / -10.5
-8.5 / 8.5,CIN,SFO,-,-8.5 / 8.5
-2.5 / 2.5,DEN,HOU,-,-2.5 / 2.5
+9.5 / -9.5,DET,SDG,-,+9.5 / -9.5
-7.0 / 7.0,GNB,STL,-,-7.0 / 7.0
-10.0 / 10.0,IND,OAK,-,-10.0 / 10.0
+3.0 / -3.0,JAX,PIT,-,+3.0 / -3.0
+20.5 / -20.5,NYJ,NWE,-,+20.5 / -20.5
+10.0 / -10.0,PHI,DAL,-,+10.0 / -10.0
-8.0 / 8.0,SEA,CAR,-,-8.0 / 8.0
-3.5 / 3.5,TEN,KAN,-,-3.5 / 3.5
+6.5 / -6.5,WAS,NYG,-,+6.5 / -6.5
