TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-9.4%,19,-11.0%,22,6-7,-1.8%,18,4.2%,20,-3.5%,25
ATL,-26.4%,28,-26.9%,28,3-10,-13.9%,26,12.6%,29,0.1%,16
BAL,-8.0%,17,-9.9%,21,4-9,-16.5%,27,-10.2%,4,-1.7%,18
BUF,0.0%,18,4.4%,13,7-6,-2.6%,20,2.5%,18,5.1%,6
CAR,-29.7%,30,-32.0%,29,5-8,-20.3%,29,3.0%,19,-6.4%,32
CHI,-9.1%,21,-5.8%,20,5-8,-19.2%,28,-2.0%,14,8.1%,1
CIN,5.9%,12,7.3%,12,5-8,13.4%,6,8.2%,22,0.7%,14
CLE,7.3%,11,12.5%,11,8-5,12.5%,7,12.3%,27,7.1%,2
DAL,38.0%,2,39.4%,2,12-1,30.3%,2,-7.0%,8,0.8%,13
DEN,2.4%,20,2.4%,14,6-7,11.5%,9,5.9%,21,-3.2%,24
DET,-13.1%,26,-13.8%,24,6-7,1.6%,16,8.9%,23,-5.8%,30
GB,27.3%,5,29.6%,4,11-2,21.8%,4,-1.9%,15,3.6%,10
HOU,-9.5%,24,-11.7%,23,6-7,0.0%,17,12.0%,26,2.5%,11
IND,36.0%,3,30.6%,3,11-2,29.2%,3,-13.1%,3,-6.2%,31
JAC,20.4%,8,23.4%,5,9-4,16.5%,5,-0.2%,16,3.7%,8
KC,-19.7%,23,-20.5%,26,4-9,-22.6%,31,-4.7%,11,-1.8%,19
MIA,-31.7%,29,-36.0%,31,0-13,-12.6%,24,16.7%,32,-2.5%,21
MIN,14.7%,9,17.9%,7,7-6,6.3%,12,-4.8%,10,3.6%,9
NE,60.5%,1,57.8%,1,13-0,48.2%,1,-7.9%,7,4.4%,7
NO,-6.4%,22,0.9%,15,6-7,9.0%,11,12.4%,28,-2.9%,23
NYG,0.1%,15,0.3%,17,9-4,-1.8%,19,-3.4%,13,-1.5%,17
NYJ,-19.2%,25,-13.9%,25,3-10,-8.8%,22,15.5%,31,5.1%,5
OAK,-27.1%,27,-24.3%,27,4-9,-13.0%,25,10.5%,25,-3.6%,26
PHI,3.4%,13,0.7%,16,5-8,9.4%,10,2.3%,17,-3.7%,28
PIT,24.1%,4,16.6%,9,9-4,4.8%,13,-21.3%,1,-2.1%,20
SD,16.4%,7,18.7%,6,8-5,4.2%,14,-6.3%,9,5.9%,3
SEA,16.2%,10,17.6%,8,9-4,3.7%,15,-10.0%,5,2.5%,12
SF,-44.8%,32,-45.4%,32,3-10,-35.8%,32,14.9%,30,5.9%,4
STL,-34.5%,31,-33.6%,30,3-10,-20.5%,30,9.6%,24,-4.4%,29
TB,17.5%,6,16.4%,10,8-5,12.2%,8,-7.9%,6,-2.6%,22
TEN,-0.3%,16,-4.1%,19,7-6,-9.8%,23,-13.1%,2,-3.7%,27
WAS,0.4%,14,-1.3%,18,6-7,-4.0%,21,-3.7%,12,0.7%,15
