TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,12.6%,10,13.1%,12,4-3,2.5%,18,-9.5%,7,0.5%,13
ATL,9.2%,14,9.1%,14,4-3,13.0%,13,3.1%,19,-0.7%,19
BAL,35.2%,7,35.1%,5,4-3,26.2%,4,-7.7%,9,1.3%,10
BUF,-18.1%,23,-18.2%,25,3-5,-19.4%,27,-0.5%,14,0.7%,12
CAR,-18.6%,25,-18.0%,24,3-4,-9.9%,23,0.9%,15,-7.7%,32
CHI,-15.3%,24,-15.8%,23,4-3,-21.1%,28,1.0%,16,6.8%,3
CIN,5.8%,15,6.1%,15,5-2,15.8%,9,4.3%,21,-5.8%,29
CLE,-40.7%,27,-41.2%,28,1-7,-33.5%,31,17.8%,29,10.7%,1
DAL,24.6%,11,25.1%,9,5-2,25.9%,5,7.2%,22,5.9%,4
DEN,26.7%,5,26.4%,8,6-1,14.9%,10,-17.6%,2,-5.8%,28
DET,-54.6%,32,-54.8%,32,1-6,-27.5%,30,22.5%,30,-4.6%,25
GB,28.4%,4,28.7%,6,4-3,19.8%,7,-13.7%,5,-5.1%,26
HOU,2.6%,18,2.9%,17,5-3,14.4%,11,15.4%,28,3.5%,7
IND,36.4%,2,36.3%,4,7-0,29.1%,3,-6.2%,10,1.2%,11
JAC,-4.9%,16,-5.8%,20,3-4,7.3%,17,14.3%,26,2.0%,9
KC,-30.9%,26,-31.0%,27,1-6,-23.2%,29,10.6%,24,2.9%,8
MIA,13.0%,13,13.3%,11,3-4,11.4%,14,2.8%,18,4.3%,6
MIN,28.1%,8,28.1%,7,7-1,16.4%,8,-1.2%,13,10.5%,2
NE,40.9%,3,41.4%,1,5-2,32.2%,1,-8.6%,8,0.1%,14
NO,39.0%,1,38.5%,3,7-0,31.1%,2,-14.0%,4,-6.1%,30
NYG,10.4%,9,9.9%,13,5-3,10.0%,15,-2.2%,12,-1.8%,24
NYJ,5.7%,17,5.4%,16,4-4,-8.3%,21,-14.2%,3,-0.2%,16
OAK,-49.0%,31,-49.0%,31,2-6,-37.3%,32,11.1%,25,-0.6%,18
PHI,39.9%,6,39.7%,2,5-2,14.3%,12,-19.9%,1,5.7%,5
PIT,15.5%,12,15.8%,10,5-2,23.6%,6,1.2%,17,-6.8%,31
SD,-1.1%,20,-0.9%,19,4-3,9.6%,16,9.1%,23,-1.7%,22
SEA,-10.4%,19,-10.5%,22,2-5,-5.2%,19,3.5%,20,-1.7%,23
SF,-0.3%,21,-0.5%,18,3-4,-8.5%,22,-9.8%,6,-1.6%,21
STL,-42.3%,30,-42.1%,29,1-7,-19.3%,26,22.8%,31,-0.2%,15
TB,-43.0%,28,-43.2%,30,0-7,-17.3%,25,24.9%,32,-0.8%,20
TEN,-28.2%,29,-28.2%,26,1-6,-8.2%,20,14.9%,27,-5.1%,27
WAS,-10.6%,22,-10.4%,21,2-5,-14.8%,24,-4.5%,11,-0.2%,17
