Game,EGO,Spread,Spread Target,Pick
BAL @ CIN,4.28,-3.0,"[-0.5, -3.0]",BAL
HOU @ IND,-9.36,8.5,"[8.0, 5.5]",
MIA @ NE,-8.25,10.5,"[12.0, 10.0]",MIA
ARI @ CHI,4.25,3.0,"[-0.5, -3.0]",
GB @ TB,14.43,-9.5,"[-10.5, -13.0]",
KC @ JAC,-7.64,7.0,"[6.0, 4.0]",
WAS @ ATL,-6.43,9.0,"[10.0, 8.0]",WAS
CAR @ NO,-14.02,13.0,"[12.5, 10.5]",
DET @ SEA,-11.6,10.0,"[10.0, 8.0]",SEA
SD @ NYG,-4.57,4.5,"[8.5, 6.0]",
TEN @ SF,-8.16,4.0,"[6.5, 4.5]",
DAL @ PHI,-5.39,3.0,"[4.0, 1.5]",PHI
PIT @ DEN,-4.53,-3.0,"[3.0, 1.0]",
