Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD
2015,ARI,BAL,7,Mon,8:30PM,1,35.4%,-8.0,8,0.0
2015,ATL,TEN,7,Sun,1:02PM,0,-0.9%,-6.0,3,-3.0
2015,BAL,ARI,7,Mon,8:30PM,0,0.7%,8.0,-8,0.0
2015,BUF,JAC,7,Sun,8:35AM,0,9.7%,-4.0,-3,-7.0
2015,CAR,PHI,7,Sun,8:31PM,1,7.1%,-3.0,11,8.0
2015,CLE,STL,7,Sun,1:00PM,0,-8.3%,6.5,-18,-11.5
2015,DAL,NYG,7,Sun,4:25PM,0,-11.3%,3.0,-7,-4.0
2015,DET,MIN,7,Sun,1:02PM,1,-19.6%,2.0,-9,-7.0
2015,HOU,MIA,7,Sun,1:02PM,0,-21.8%,4.5,-18,-13.5
2015,IND,NO,7,Sun,1:03PM,1,-4.1%,-4.0,-6,-10.0
2015,JAC,BUF,7,Sun,8:35AM,1,-21.2%,4.0,3,7.0
2015,KC,PIT,7,Sun,1:03PM,1,-2.5%,-3.0,10,7.0
2015,MIA,HOU,7,Sun,1:02PM,1,-8.7%,-4.5,18,13.5
2015,MIN,DET,7,Sun,1:02PM,0,-13.4%,-2.0,9,7.0
2015,NE,NYJ,7,Sun,1:02PM,1,37.5%,-7.5,7,-0.5
2015,NO,IND,7,Sun,1:03PM,0,-12.4%,4.0,6,10.0
2015,NYG,DAL,7,Sun,4:25PM,1,2.0%,-3.0,7,4.0
2015,NYJ,NE,7,Sun,1:02PM,0,19.6%,7.5,-7,0.5
2015,OAK,SD,7,Sun,4:05PM,0,-4.7%,3.5,8,11.5
2015,PHI,CAR,7,Sun,8:31PM,0,15.2%,3.0,-11,-8.0
2015,PIT,KC,7,Sun,1:03PM,0,17.4%,3.0,-10,-7.0
2015,SD,OAK,7,Sun,4:05PM,1,-5.6%,-3.5,-8,-11.5
2015,SEA,SF,7,Thu,8:26PM,0,14.5%,-6.5,17,10.5
2015,SF,SEA,7,Thu,8:26PM,1,-30.2%,6.5,-17,-10.5
2015,STL,CLE,7,Sun,1:00PM,1,-0.6%,-6.5,18,11.5
2015,TB,WAS,7,Sun,1:04PM,0,-21.7%,3.0,-1,2.0
2015,TEN,ATL,7,Sun,1:02PM,1,-13.8%,6.0,-3,3.0
2015,WAS,TB,7,Sun,1:04PM,1,-6.1%,-3.0,1,-2.0
