Game,EGO,Spread,Spread Target,Pick
SEA @ SF,7.91,-6.5,"[-4.0, -6.5]",SEA
CLE @ STL,-3.9,6.5,"[7.5, 5.5]",CLE
ATL @ TEN,0.63,-6.0,"[-2.0, -4.5]",
HOU @ MIA,-5.07,4.5,"[3.5, 1.5]",
MIN @ DET,-0.86,-2.0,"[-0.5, -3.0]",DET
NYJ @ NE,-6.09,7.5,"[10.0, 7.5]",NYJ
NO @ IND,-4.03,4.0,"[7.5, 5.5]",
PIT @ KC,2.21,3.0,"[1.5, -0.5]",
TB @ WAS,-5.6,3.0,"[4.0, 2.0]",WAS
OAK @ SD,-2.03,3.5,"[5.5, 3.5]",OAK
DAL @ NYG,-5.11,3.0,"[3.5, 1.5]",NYG
PHI @ CAR,-0.44,3.0,"[4.0, 2.0]",PHI
BUF @ JAC,4.71,-4.0,"[-1.0, -3.0]",
BAL @ ARI,-9.62,8.0,"[8.0, 6.0]",ARI
