Week,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Spread Result Class,EGO Pick Correct
6,4.53,2.03,22.0,16.0,0.0,0.4851426341351075,47.0,44.0,0.0,-0.7313065200361073,21.0,76.0,-16.328344438749365,0.5159309142602141,22.0,14.0,0.0,0.20558564661093032,47.0,78.0,0.0,-0.7758578123992967,50.0,47.0,-4.195223463687153,0.4672895773623082,1,1,1,1
6,-10.69,5.3100000000000005,0.0,99.0,0.0,0.9958196900613628,0.0,14.0,0.0,0.08029258720827348,34.0,63.0,-3.8111982128350914,0.5622730451038618,21.0,47.0,0.0,0.8060633983847656,0.0,61.0,-2.6298146410136085,0.15268833510519966,96.0,26.0,0.0,-0.4745445507052147,1,1,1,1
6,3.24,0.2400000000000002,100.0,100.0,0.0,-0.14315192902928253,68.0,56.0,8.126799999999996,-0.9912752546514662,31.0,46.0,0.0,-0.024523738182710336,64.0,30.0,0.0,0.02210968222869575,100.0,72.0,0.0,0.36021673673975224,41.0,67.0,0.0,0.3219307471452089,1,-1,-1,-1
6,-6.6,-13.1,69.0,59.0,-4.88927234927235,-0.8383523004681572,46.0,35.0,-5.7984119106699765,-0.9067683311301216,25.0,62.0,-4.346063513822255,-0.7632100713653042,79.0,26.0,0.0,-0.9877327435409284,37.0,94.0,0.9213953488372121,-0.8934051474415641,49.0,44.0,0.0,0.7625753307152753,-1,-1,1,-1
6,13.74,3.74,83.0,89.0,7.261988734835357,-0.7356289688674019,99.0,44.0,6.739278494248872,0.9982636222049716,67.0,44.0,6.553062441999197,0.9887003722675144,100.0,36.0,0.0,0.19919870712158694,35.0,45.0,0.0,0.3003106917734054,100.0,50.0,0.0,0.12504728487364908,1,1,1,1
6,-6.23,-9.23,42.0,63.0,1.0656022187004623,0.6096725489472754,46.0,22.0,4.635269615268103,0.9987718801438444,26.0,49.0,0.0,0.357108232620545,87.0,27.0,0.0,-0.0990634392092126,41.0,52.0,-0.2715303094531727,0.9109721053517378,47.0,65.0,0.0,-0.3415393295117462,-1,1,-1,1
6,-13.74,-3.74,44.0,99.0,0.0,0.279237235293923,89.0,83.0,-4.769663767070808,0.22510338367215768,36.0,100.0,0.0,0.5464567606040717,44.0,67.0,0.0,-0.4523118414455129,50.0,100.0,-8.461641991924626,0.42632176912645536,45.0,35.0,0.0,0.02994992272926178,-1,1,-1,1
6,6.23,9.23,22.0,46.0,-5.031733776387808,0.18394031472907105,63.0,42.0,-5.54896321070234,-0.1214535071754388,27.0,87.0,0.0,-0.9033205222307518,49.0,26.0,0.0,0.3822516825792689,65.0,47.0,0.0,0.9704412380016484,52.0,41.0,0.0,-0.974497282238622,1,1,1,1
6,-6.82,-1.8200000000000005,21.0,33.0,0.0,-0.9991048934045532,86.0,42.0,0.0,-0.6590766527342788,11.0,27.0,8.03743907311227,0.7744423302195859,9.0,28.0,5.564857142857144,0.7520757713293116,46.0,60.0,0.0,-0.946815009973756,82.0,48.0,5.12150537634409,-0.9808550499090996,-1,-1,1,-1
6,-16.6,-4.600000000000001,17.0,84.0,-7.573281430611267,0.5035219914144635,100.0,11.0,0.0,0.8258523257375228,23.0,74.0,-3.830327408793256,0.8358431894461552,0.0,41.0,-2.302451721242658,0.7753394906888593,34.0,37.0,0.0,0.1503558995528271,59.0,46.0,-7.330802056555264,-0.7189804561766207,-1,-1,1,-1
6,16.6,4.600000000000001,11.0,100.0,0.0,0.640784154675111,84.0,17.0,0.0,-0.03654566839918755,41.0,0.0,0.0,0.7416349897682473,74.0,23.0,0.0,0.7264654521170336,46.0,59.0,-15.054124916499676,0.7735670105994635,37.0,34.0,0.0,0.6285439934535564,1,-1,-1,-1
