Week,Spread,DVOA EGO,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Spread Result Class,EGO To Result Diff
6,-2.5,-0.03,22.0,16.0,0.0,0.4300958009909358,47.0,44.0,0.0,-0.7467147570939279,21.0,76.0,-14.365546899026144,0.5463033105186691,22.0,14.0,0.0,0.1598257875367912,47.0,78.0,0.0,-0.7687866705025781,50.0,47.0,-3.266363128491616,0.4085630767285624,-1,-1,1,3.03
6,16.0,-9.66,0.0,99.0,0.0,0.9998870767021376,0.0,14.0,0.0,0.15617711959137145,34.0,63.0,-8.294003520173298,0.6237817653230695,21.0,47.0,0.0,0.7585142379484258,0.0,61.0,-6.9658798686062875,0.2277125897033636,96.0,26.0,0.0,-0.5403781926262348,1,1,1,-0.33999999999999986
6,-3.0,5.33,100.0,100.0,0.0,-0.29439050299603003,68.0,56.0,9.789,-0.9993235992401656,31.0,46.0,0.0,0.11276474881460137,64.0,30.0,0.0,0.15850131301310394,100.0,72.0,0.0,0.44630244518522,41.0,67.0,0.0,0.27060513061326674,1,-1,-1,-8.33
6,-6.5,-0.67,69.0,59.0,-7.2035951885951865,-0.7677719781044259,46.0,35.0,-7.9657887274016295,-0.9503790527662029,25.0,62.0,-6.857610235320996,-0.6811773533027694,79.0,26.0,0.0,-0.96223689560851,37.0,94.0,-3.2480822631030883,-0.9403867323050102,49.0,44.0,0.0,0.8339249497261552,-1,-1,1,38.67
6,-10.0,12.05,83.0,89.0,6.891507798960136,-0.483210671354525,99.0,44.0,7.4763367026838745,0.9655264935144616,67.0,44.0,7.3860943921516595,0.9852779428142924,100.0,36.0,0.0,-0.12143586270672856,35.0,45.0,0.0,0.5869567776854029,100.0,50.0,0.0,-0.1956311613419208,1,1,1,16.95
6,-3.0,4.14,42.0,63.0,-4.314492868462775,0.7040109169272747,46.0,22.0,-0.7170569524386519,0.997127303917379,26.0,49.0,0.0,0.4711130525098423,87.0,27.0,0.0,0.02615289243442853,41.0,52.0,-6.236155150487509,0.9554016276245606,47.0,65.0,0.0,-0.22132422806990712,1,-1,-1,-2.1399999999999997
6,10.0,-12.05,44.0,99.0,0.0,0.4733179351576939,89.0,83.0,-8.868627574705908,0.31987256794434016,36.0,100.0,0.0,0.6985037537060599,44.0,67.0,0.0,-0.604427043772886,50.0,100.0,-7.816931359353969,0.2606772824068445,45.0,35.0,-1.2776959404665371,0.20312371743144655,-1,1,-1,-16.95
6,3.0,-4.14,22.0,46.0,1.025609851446435,0.28576147982237043,63.0,42.0,0.0,-0.051766787220624944,27.0,87.0,0.0,-0.8682102710728894,49.0,26.0,0.0,0.4809478352109808,65.0,47.0,0.0,0.9330432831219442,52.0,41.0,0.0,-0.9440701944882366,-1,-1,1,2.1399999999999997
6,5.0,-5.22,21.0,33.0,0.0,-0.7978292479467876,86.0,42.0,0.0,-0.030161372782610163,11.0,27.0,2.7665121853775485,0.9999900487654224,9.0,28.0,1.168,0.9995450423026808,46.0,60.0,0.0,-0.5258930361940934,82.0,48.0,0.4577419354838721,-0.8807120852522181,-1,-1,1,6.22
6,12.0,-12.02,17.0,84.0,-9.976609097708572,0.4740839660704727,100.0,11.0,0.0,0.7442937729105296,23.0,74.0,-6.597734331150606,0.7959481302953098,0.0,41.0,-5.194013434089007,0.7443380059011018,34.0,37.0,0.0,0.01669556330391811,59.0,46.0,-9.630503856041123,-0.6550572576864642,-1,-1,1,15.02
6,-12.0,12.02,11.0,100.0,0.0,0.6573047612818507,84.0,17.0,0.0,0.10199660826128182,41.0,0.0,0.0,0.7963548805627176,74.0,23.0,0.0,0.7992494742513744,46.0,59.0,-16.447154308617243,0.8321437021325842,37.0,34.0,0.0,0.5338244930386216,1,-1,-1,-15.02
7,-3.0,-1.08,27.0,0.0,0.0,-0.8285985515234373,47.0,0.0,0.0,-0.3308222156772942,1.0,18.0,-3.2083534000339125,-0.2480281505397546,58.0,27.0,3.1683237628778897,0.8674125328526541,60.0,100.0,6.697041926851021,-0.4426397005135509,40.0,2.0,-10.175985589294912,-0.8761656032267708,-1,1,-1,-11.92
7,3.0,2.79,40.0,53.0,5.794358361774738,0.7612673960845966,32.0,60.0,0.0,0.8912010440267921,100.0,89.0,0.0,0.05632372880998264,60.0,35.0,-12.110395829651882,0.8328567369081223,0.0,47.0,0.0,0.5499349103136459,58.0,43.0,0.0,0.6492340691962503,1,1,1,0.20999999999999996
7,5.5,-3.52,54.0,100.0,-11.973382953617142,0.5120068446165773,43.0,40.0,-4.008129324108571,0.2753331541514331,21.0,81.0,-2.3037219458934874,-0.20854935990379425,50.0,43.0,0.0,0.4827999970485168,26.0,38.0,-2.1708495973795494,0.14601572932563128,50.0,47.0,0.0,0.1659095921935031,1,-1,-1,-18.48
7,3.0,-3.56,32.0,37.0,2.1384504858383275,0.27164074571369146,74.0,40.0,-0.2765861513687611,-0.5884297216679487,21.0,26.0,-0.7249516928505413,-0.21511304349133692,52.0,18.0,0.0,0.19485492637765295,53.0,57.0,0.0,-0.8183644539469075,52.0,55.0,0.0,0.8957259912863904,-1,0,0,0.56
