Game,EGO,Spread,Spread Target,Pick
PIT @ CLE,10.04,-10.0,"[-6.5, -8.5]",
BUF @ KC,1.76,-2.5,"[-3.5, -5.5]",
NYJ @ TB,4.39,-3.5,"[-0.5, -3.0]",
CAR @ NE,-8.77,12.5,"[12.5, 10.5]",CAR
DEN @ IND,-6.11,6.5,"[10.0, 7.5]",
DET @ BAL,-15.87,14.0,"[14.5, 12.0]",BAL
GB @ CHI,10.57,-4.0,"[-7.0, -9.0]",
NO @ ATL,7.35,-10.0,"[-9.0, -11.0]",ATL
SEA @ HOU,-9.5,7.0,"[8.0, 6.0]",HOU
MIA @ JAC,0.43,2.0,"[3.5, 1.0]",MIA
CIN @ MIN,-6.15,6.0,"[10.0, 7.5]",
STL @ TEN,-7.05,14.0,"[11.0, 8.5]",
WAS @ OAK,4.67,-2.5,"[-1.0, -3.0]",WAS
SD @ DAL,-3.88,3.5,"[2.5, 0.0]",
PHI @ NYG,1.28,-1.0,"[2.5, 0.0]",
ARI @ SF,3.82,-4.0,"[-0.0, -2.5]",
