TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,24.3%,9,28.6%,5,8-4,19.5%,7,-1.3%,14,3.6%,6
ATL,-6.5%,18,-11.4%,23,6-6,6.3%,18,12.7%,27,-0.1%,19
BAL,22.0%,6,20.3%,9,6-6,13.7%,11,-7.1%,6,1.2%,12
BUF,-16.6%,24,-16.6%,24,4-8,-19.5%,27,-1.5%,12,1.4%,11
CAR,-8.3%,23,-0.1%,19,5-7,-8.5%,23,-3.8%,9,-3.6%,29
CHI,-20.6%,26,-23.5%,26,5-7,-20.5%,29,4.9%,18,4.8%,4
CIN,6.4%,15,6.9%,16,9-3,7.6%,17,0.7%,16,-0.4%,22
CLE,-36.2%,29,-38.6%,31,1-11,-20.2%,28,23.0%,32,7.0%,1
DAL,20.0%,8,22.6%,8,8-4,24.9%,4,5.8%,19,0.9%,14
DEN,14.9%,12,12.5%,13,8-4,4.6%,19,-10.7%,4,-0.3%,21
DET,-46.9%,32,-45.5%,32,2-10,-25.0%,32,17.8%,30,-4.1%,30
GB,30.5%,7,32.3%,1,8-4,20.5%,6,-18.4%,1,-8.4%,32
HOU,10.2%,11,15.1%,10,5-7,15.5%,10,8.7%,21,3.4%,7
IND,30.0%,2,30.5%,4,12-0,26.5%,3,-3.8%,8,-0.3%,20
JAC,-0.3%,20,-4.2%,21,7-5,11.3%,13,11.1%,24,-0.5%,24
KC,-33.5%,28,-34.5%,30,3-9,-24.9%,31,11.7%,26,3.1%,8
MIA,5.5%,16,7.8%,15,6-6,9.8%,15,8.5%,20,4.2%,5
MIN,24.7%,5,25.1%,6,10-2,17.9%,8,-0.2%,15,6.6%,2
NE,28.2%,3,30.5%,3,7-5,28.9%,2,1.9%,17,1.2%,13
NO,34.0%,1,30.9%,2,12-0,31.8%,1,-4.0%,7,-1.8%,27
NYG,12.0%,14,9.0%,14,7-5,11.2%,14,-1.6%,11,-0.8%,25
NYJ,4.0%,17,-0.1%,18,6-6,-11.5%,24,-12.8%,3,2.7%,10
OAK,-34.8%,30,-33.0%,29,4-8,-24.4%,30,10.8%,23,0.3%,17
PHI,30.9%,4,24.8%,7,8-4,12.6%,12,-12.9%,2,5.4%,3
PIT,14.5%,10,15.0%,11,6-6,17.3%,9,-2.2%,10,-5.0%,31
SD,10.3%,13,15.0%,12,9-3,21.9%,5,11.2%,25,-0.5%,23
SEA,-15.2%,25,-19.0%,25,5-7,-8.4%,22,9.6%,22,2.8%,9
SF,0.6%,19,1.6%,17,5-7,-7.1%,21,-7.2%,5,0.5%,16
STL,-33.5%,31,-29.4%,27,1-11,-15.8%,26,17.8%,31,0.2%,18
TB,-29.4%,27,-29.6%,28,1-11,-15.0%,25,15.1%,29,0.7%,15
TEN,-8.6%,22,-7.0%,22,5-7,8.0%,16,14.3%,28,-2.3%,28
WAS,-3.3%,21,-2.3%,20,3-9,-3.5%,20,-1.4%,13,-1.3%,26
