Game,EGO,Spread,Spread Target,Pick
PHI @ CAR,-0.1,3.0,"[4.0, 1.5]",PHI
CHI @ BAL,-8.08,5.5,"[6.5, 4.5]",BAL
CLE @ HOU,-12.4,7.5,"[11.0, 8.5]",
DET @ NO,-0.68,6.0,"[4.5, 2.0]",
GB @ MIN,-0.86,-3.0,"[-0.5, -3.0]",MIN
MIA @ ATL,-8.18,14.0,"[12.0, 9.5]",
NE @ NYJ,3.22,-9.0,"[-4.5, -7.0]",
SF @ WAS,-9.95,12.0,"[13.5, 11.5]",SF
LARM @ JAC,-2.58,1.0,"[1.0, -1.0]",JAC
TB @ ARI,2.52,-2.5,"[1.0, -1.0]",
LACH @ OAK,-3.92,3.0,"[2.5, 0.0]",
PIT @ KC,-3.71,3.5,"[7.5, 5.0]",
NYG @ DEN,-5.48,13.5,"[9.0, 7.0]",
IND @ TEN,-10.12,7.0,"[8.5, 6.5]",TEN
