Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,TB,6,Sun,October 15,4:05PM,1,boxscore,38,33,432,2,412,2,-23.7%,2.5
ATL,MIA,6,Sun,October 15,1:00PM,1,boxscore,17,20,289,1,339,1,7.4%,-14.0
BAL,CHI,6,Sun,October 15,1:00PM,1,boxscore,24,27,342,2,291,3,5.5%,-5.5
CAR,PHI,6,Thu,October 12,8:25PM,1,boxscore,23,28,310,1,305,3,5.5%,-3.0
CHI,BAL,6,Sun,October 15,1:00PM,0,boxscore,27,24,342,2,291,3,-21.8%,5.5
CLE,HOU,6,Sun,October 15,1:00PM,0,boxscore,17,33,340,1,247,3,-39.8%,7.5
DEN,NYG,6,Sun,October 15,8:30PM,1,boxscore,10,23,266,0,412,3,1.1%,-13.5
DET,NO,6,Sun,October 15,1:00PM,0,boxscore,38,52,379,3,347,5,10.9%,6.0
GB,MIN,6,Sun,October 15,1:00PM,0,boxscore,10,23,351,2,227,3,12.6%,-3.0
HOU,CLE,6,Sun,October 15,1:00PM,1,boxscore,33,17,340,1,247,3,8.5%,-7.5
IND,TEN,6,Mon,October 16,8:30PM,0,boxscore,22,36,473,1,297,1,-38.7%,7.0
JAC,LARM,6,Sun,October 15,4:05PM,1,boxscore,17,27,249,1,389,1,13.5%,-1.0
KC,PIT,6,Sun,October 15,4:25PM,1,boxscore,13,19,439,1,251,0,26.4%,-3.5
LACH,OAK,6,Sun,October 15,4:25PM,0,boxscore,17,16,343,1,274,2,-7.6%,3.0
LARM,JAC,6,Sun,October 15,4:05PM,0,boxscore,27,17,249,1,389,1,11.9%,1.0
MIA,ATL,6,Sun,October 15,1:00PM,0,boxscore,20,17,289,1,339,1,-20.4%,14.0
MIN,GB,6,Sun,October 15,1:00PM,1,boxscore,23,10,351,2,227,3,6.4%,3.0
NE,NYJ,6,Sun,October 15,1:00PM,0,boxscore,24,17,375,2,408,3,6.7%,-9.0
NO,DET,6,Sun,October 15,1:00PM,1,boxscore,52,38,379,3,347,5,3.9%,-6.0
NYG,DEN,6,Sun,October 15,8:30PM,0,boxscore,23,10,266,0,412,3,-13.9%,13.5
NYJ,NE,6,Sun,October 15,1:00PM,1,boxscore,17,24,375,2,408,3,-17.7%,9.0
OAK,LACH,6,Sun,October 15,4:25PM,1,boxscore,16,17,343,1,274,2,0.2%,-3.0
PHI,CAR,6,Thu,October 12,8:25PM,0,boxscore,28,23,310,1,305,3,15.1%,3.0
PIT,KC,6,Sun,October 15,4:25PM,0,boxscore,19,13,439,1,251,0,19.6%,3.5
SF,WAS,6,Sun,October 15,1:00PM,0,boxscore,24,26,419,2,335,1,-22.7%,12.0
TB,ARI,6,Sun,October 15,4:05PM,0,boxscore,33,38,432,2,412,2,-2.4%,-2.5
TEN,IND,6,Mon,October 16,8:30PM,1,boxscore,36,22,473,1,297,1,-1.6%,-7.0
WAS,SF,6,Sun,October 15,1:00PM,1,boxscore,26,24,419,2,335,1,13.6%,-12.0
