TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-31.9%,26,-23.7%,30,2-3,-20.7%,27,-0.1%,13,-11.3%,32
ATL,10.5%,13,7.4%,11,3-1,13.1%,7,8.1%,24,5.4%,4
BAL,6.3%,18,5.5%,17,3-2,-9.3%,24,-14.9%,6,0.7%,18
BUF,14.3%,6,6.5%,14,3-2,-7.7%,23,-18.1%,3,3.9%,6
CAR,7.4%,16,5.5%,16,4-1,0.4%,20,-5.7%,12,1.3%,15
CHI,-28.4%,29,-21.8%,28,1-4,-23.1%,28,2.7%,17,-2.6%,26
CIN,9.4%,19,6.8%,12,2-3,-11.8%,25,-19.2%,2,2.0%,12
CLE,-49.1%,32,-39.8%,32,0-5,-26.1%,30,12.2%,28,-10.7%,31
DAL,-3.1%,21,1.7%,19,2-3,8.0%,10,14.9%,29,3.8%,7
DEN,7.4%,14,1.1%,20,3-1,2.1%,17,-14.0%,7,-8.6%,29
DET,14.9%,5,10.9%,9,3-2,-2.9%,21,-11.5%,8,6.3%,2
GB,12.2%,11,12.6%,7,4-1,15.4%,4,3.7%,20,0.5%,19
HOU,17.7%,7,8.5%,10,3-2,9.4%,9,-10.4%,9,-2.1%,25
IND,-48.8%,31,-38.7%,31,2-3,-35.6%,32,15.1%,30,1.9%,14
JAC,23.7%,8,13.5%,5,3-2,1.9%,18,-23.7%,1,-1.9%,24
KC,37.0%,1,26.4%,1,5-0,37.1%,1,3.6%,19,3.5%,8
LACH,-10.0%,24,-7.6%,24,1-4,2.8%,16,2.4%,15,-10.4%,30
LARM,16.1%,3,11.9%,8,3-2,5.3%,13,-8.8%,11,1.9%,13
MIA,-31.0%,30,-20.4%,27,2-2,-28.4%,31,3.0%,18,0.5%,20
MIN,10.4%,10,6.4%,15,3-2,14.3%,5,2.6%,16,-1.3%,22
NE,-1.8%,22,6.7%,13,3-2,23.4%,2,27.6%,32,2.4%,11
NO,14.4%,9,3.9%,18,2-2,21.5%,3,7.8%,23,0.7%,17
NYG,-21.4%,27,-13.9%,25,0-5,-3.2%,22,10.5%,27,-7.6%,28
NYJ,-17.3%,25,-17.7%,26,3-2,-14.3%,26,5.8%,21,2.7%,10
OAK,-3.0%,23,0.2%,21,2-3,6.9%,12,15.1%,31,5.3%,5
PHI,20.0%,12,15.1%,3,4-1,13.9%,6,1.7%,14,7.8%,1
PIT,20.2%,2,19.6%,2,3-2,4.1%,15,-16.5%,5,-0.4%,21
SEA,11.1%,15,12.7%,6,3-2,0.6%,19,-9.5%,10,0.9%,16
SF,-26.4%,28,-22.7%,29,0-5,-23.5%,29,9.2%,25,6.3%,3
TB,-0.5%,20,-2.4%,23,2-2,12.6%,8,7.6%,22,-5.5%,27
TEN,-1.7%,17,-1.6%,22,2-3,5.1%,14,10.1%,26,3.2%,9
WAS,24.1%,4,13.6%,4,2-2,7.8%,11,-17.8%,4,-1.5%,23
