Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+5.5 / -5.5,CHI,BAL,-,+5.5 / -5.5
+7.5 / -7.5,CLE,HOU,-,+7.5 / -7.5
+6.0 / -6.0,DET,NOR,-,+6.0 / -6.0
-3.0 / 3.0,GNB,MIN,-,-3.0 / 3.0
+7.0 / -7.0,IND,TEN,-,+7.0 / -7.0
+3.0 / -3.0,LAC,OAK,-,+3.0 / -3.0
+1.0 / -1.0,LAR,JAX,-,+1.0 / -1.0
+14.0 / -14.0,MIA,ATL,-,+14.0 / -14.0
-9.0 / 9.0,NWE,NYJ,-,-9.0 / 9.0
+13.5 / -13.5,NYG,DEN,-,+13.5 / -13.5
+3.0 / -3.0,PHI,CAR,-,+3.0 / -3.0
+3.5 / -3.5,PIT,KAN,-,+3.5 / -3.5
+12.0 / -12.0,SFO,WAS,-,+12.0 / -12.0
-2.5 / 2.5,TAM,ARI,-,-2.5 / 2.5
