Game,EGO,Spread,Spread Target,Pick
CLE @ STL,5.54,-3.0,"[-2.0, -4.0]",CLE
IND @ CAR,13.4,-6.5,"[-9.5, -12.0]",
OAK @ TEN,-12.77,7.0,"[11.5, 9.0]",
PIT @ CIN,4.55,-4.0,"[-1.0, -3.0]",
NYG @ MIA,6.46,-10.0,"[-8.0, -10.0]",MIA
DET @ CHI,-0.79,6.0,"[4.5, 2.5]",
PHI @ MIN,-1.3,-1.0,"[-0.0, -2.5]",MIN
BUF @ NYJ,1.76,3.0,"[2.0, -0.5]",
HOU @ SD,-7.87,10.0,"[11.5, 9.5]",HOU
JAC @ TB,-2.4,3.5,"[6.0, 4.0]",
NO @ SF,3.77,-1.5,"[-0.0, -2.5]",NO
WAS @ NE,-12.24,14.5,"[16.0, 13.5]",WAS
GB @ DEN,4.18,3.0,"[-0.5, -2.5]",
