TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,NON-ADJTOT VOA,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-3.4%,17,-3.7%,17,3.2%,3-4,-1.3%,18,1.7%,17,-0.4%,14
ATL,-25.3%,25,-24.8%,27,-21.1%,1-6,-9.4%,24,12.0%,28,-3.9%,24
BAL,3.0%,8,3.5%,14,14.3%,4-3,-11.2%,25,-15.8%,4,-1.6%,18
BUF,-13.6%,22,-10.5%,21,-20.2%,2-4,-17.0%,29,6.0%,20,9.3%,2
CAR,-11.7%,20,-10.7%,22,3.2%,4-2,-2.6%,19,5.3%,19,-3.7%,23
CHI,-21.7%,27,-21.0%,26,-25.5%,3-4,-22.7%,30,3.7%,18,4.7%,8
CIN,-2.1%,19,-3.0%,16,-0.5%,2-4,13.4%,5,9.0%,22,-6.5%,31
CLE,-5.1%,18,-3.9%,18,-10.4%,3-3,3.7%,14,15.8%,30,7.0%,4
DAL,35.4%,4,34.4%,3,35.1%,6-1,24.1%,3,-11.7%,7,-0.3%,13
DEN,-10.2%,24,-13.0%,23,-10.8%,3-3,7.1%,12,12.8%,29,-4.5%,27
DET,-14.9%,23,-14.5%,24,-9.1%,4-2,-0.1%,15,9.0%,23,-5.8%,29
GB,16.7%,6,15.6%,9,16.5%,5-1,8.6%,10,-9.1%,8,-1.0%,15
HOU,-7.6%,16,-9.8%,20,-10.4%,3-4,-4.9%,21,9.8%,25,7.1%,3
IND,56.4%,2,56.9%,2,53.6%,6-0,44.0%,1,-13.5%,6,-1.0%,16
JAC,16.6%,7,17.6%,6,11.4%,4-2,11.7%,6,-1.7%,14,3.2%,9
KC,-9.2%,21,-8.2%,19,-2.3%,4-3,-16.0%,28,-9.0%,9,-2.2%,20
MIA,-25.5%,26,-26.6%,28,-30.0%,0-7,6.3%,13,29.3%,32,-2.5%,21
MIN,2.7%,15,2.0%,15,4.0%,2-4,-4.1%,20,-4.3%,11,2.5%,10
NE,63.0%,1,62.2%,1,68.1%,7-0,43.4%,2,-14.4%,5,5.2%,7
NO,-22.6%,28,-20.0%,25,-33.0%,2-4,-8.2%,23,10.1%,26,-4.2%,25
NYG,9.8%,12,11.9%,12,12.2%,5-2,11.7%,7,-3.7%,12,-5.6%,28
NYJ,-29.3%,30,-28.4%,29,-30.6%,1-6,-7.2%,22,28.4%,31,6.3%,6
OAK,-33.9%,31,-32.8%,30,-23.6%,2-4,-15.8%,27,9.6%,24,-8.4%,32
PHI,8.6%,11,6.2%,13,13.2%,2-4,10.1%,9,-1.2%,15,-2.7%,22
PIT,30.6%,3,27.2%,4,39.6%,4-2,10.4%,8,-21.4%,3,-1.2%,17
SD,13.8%,13,16.5%,8,11.2%,3-3,8.0%,11,0.6%,16,6.5%,5
SEA,13.8%,14,13.4%,11,20.1%,4-3,-0.9%,16,-5.3%,10,9.4%,1
SF,-45.2%,32,-46.8%,32,-43.5%,2-4,-36.7%,32,10.8%,27,2.3%,11
STL,-38.9%,29,-38.4%,31,-42.7%,0-7,-27.2%,31,7.4%,21,-4.3%,26
TB,18.9%,5,18.4%,5,13.2%,4-3,19.0%,4,-1.8%,13,-2.0%,19
TEN,17.0%,10,17.4%,7,13.4%,4-2,-1.2%,17,-24.1%,2,-5.9%,30
WAS,13.5%,9,14.7%,10,12.5%,4-2,-13.0%,26,-24.3%,1,2.2%,12
