Game,Spread,EGO,Spread Target,Pick
DAL @ BAL,BAL at -7.5,BAL wins by 9.5,BAL (at -8.0 or better),BAL
CIN @ MIA,MIA at -10.5,MIA wins by 10.26,Too Close To Call,
CLE @ TEN,TEN at -4.5,TEN wins by 5.94,TEN (at -4.5 or better),TEN
DET @ CHI,CHI at -3.0,CHI wins by 5.05,CHI (at -3.5 or better),CHI
IND @ HOU,IND at -3.0,IND wins by 2.23,Too Close To Call,
JAX @ MIN,MIN at -10.0,MIN wins by 7.38,JAX (at +9.0 or better),JAX
LV @ NYJ,LV at -7.5,LV wins by 5.98,NYJ (at +7.5 or better),NYJ
NO @ ATL,NO at -3.0,NO wins by 8.51,Missing Something ...,
LAR @ ARI,LAR at -2.5,LAR wins by 0.14,ARI (at +1.5 or better),ARI
NYG @ SEA,SEA at -10.5,SEA wins by 7.83,NYG (at +9.5 or better),NYG
NE @ LAC,LAC at -1.5,LAC wins by 0.82,Too Close To Call,
PHI @ GB,GB at -9.0,GB wins by 9.44,Too Close To Call,
DEN @ KC,KC at -13.5,KC wins by 13.03,Too Close To Call,
WAS @ PIT,PIT at -7.0,PIT wins by 9.79,PIT (at -8.5 or better),PIT
BUF @ SF,SF at -1.0,SF wins by 0.5,Too Close To Call,
