Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+3.0 / -3.0,ATL,NOR,-,+3.0 / -3.0
+13.5 / -13.5,CIN,IND,-,+13.5 / -13.5
+13.5 / -13.5,CLE,TEN,-,+13.5 / -13.5
+4.0 / -4.0,DAL,PIT,-,+4.0 / -4.0
+7.0 / -7.0,HOU,GNB,-,+7.0 / -7.0
+6.5 / -6.5,JAX,CHI,-,+6.5 / -6.5
+9.0 / -9.0,KAN,DEN,-,+9.0 / -9.0
+2.0 / -2.0,MIA,BUF,-,+2.0 / -2.0
-10.5 / 10.5,MIN,DET,-,-10.5 / 10.5
-7.5 / 7.5,NWE,SEA,-,-7.5 / 7.5
-5.0 / 5.0,NYJ,SFO,-,-5.0 / 5.0
+9.0 / -9.0,OAK,SDG,-,+9.0 / -9.0
+7.0 / -7.0,PHI,NYG,-,+7.0 / -7.0
+14.5 / -14.5,STL,ARI,-,+14.5 / -14.5
+3.0 / -3.0,TAM,CAR,-,+3.0 / -3.0
+6.5 / -6.5,WAS,BAL,-,+6.5 / -6.5
