TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,7.5%,6,7.2%,12,7-5,16.3%,5,5.7%,16,-3.0%,26
ATL,12.9%,13,13.8%,9,8-4,18.4%,4,9.0%,21,3.5%,7
BAL,32.1%,2,30.6%,3,8-4,6.3%,17,-28.4%,1,-2.6%,25
BUF,-11.4%,23,-14.6%,25,6-6,-3.7%,23,13.2%,23,5.4%,2
CAR,16.2%,8,16.1%,7,9-3,10.2%,13,-4.4%,8,1.6%,11
CHI,2.5%,15,-1.5%,17,6-6,-0.6%,21,-3.0%,9,0.2%,18
CIN,-28.5%,29,-28.0%,29,1-10-1,-17.6%,28,8.6%,20,-2.3%,24
CLE,-10.4%,25,-6.9%,23,4-8,-7.7%,25,7.8%,18,5.1%,3
DAL,1.7%,20,-2.7%,19,8-4,11.3%,11,5.3%,15,-4.3%,28
DEN,-1.8%,21,-5.6%,22,7-5,21.6%,2,19.3%,29,-4.1%,27
DET,-52.0%,31,-50.5%,32,0-12,-19.8%,30,31.9%,32,-0.3%,20
GB,13.7%,9,14.0%,8,5-7,12.0%,10,-0.7%,11,1.0%,15
HOU,-7.5%,24,-3.7%,20,5-7,8.2%,15,18.7%,28,3.0%,8
IND,10.0%,12,13.6%,10,8-4,15.8%,6,4.7%,14,-1.1%,22
JAC,-8.1%,22,-9.6%,24,4-8,6.1%,18,14.0%,25,-0.2%,19
KC,-33.0%,30,-29.8%,30,2-10,-7.8%,26,19.7%,30,-5.4%,30
MIA,1.3%,16,0.9%,16,7-5,15.6%,7,6.5%,17,-7.8%,31
MIN,5.8%,19,5.6%,15,7-5,-4.0%,24,-19.1%,5,-9.4%,32
NE,-4.8%,18,-4.5%,21,7-5,7.4%,16,13.5%,24,1.3%,14
NO,11.6%,11,12.5%,11,6-6,20.8%,3,9.8%,22,0.6%,17
NYG,39.7%,1,39.0%,1,11-1,25.5%,1,-10.2%,7,3.9%,6
NYJ,6.1%,10,6.1%,14,8-4,4.6%,19,3.6%,12,5.1%,4
OAK,-20.5%,27,-18.5%,26,3-9,-20.8%,31,4.5%,13,4.9%,5
PHI,30.7%,4,29.3%,4,6-5-1,11.2%,12,-17.8%,6,1.7%,10
PIT,22.2%,5,21.2%,5,9-3,0.3%,20,-23.1%,2,-1.2%,23
SD,0.1%,17,-1.8%,18,4-8,13.5%,8,14.3%,26,0.9%,16
SEA,-27.2%,28,-22.8%,28,2-10,-13.8%,27,16.1%,27,2.7%,9
SF,-20.0%,26,-21.9%,27,4-8,-18.1%,29,7.9%,19,6.0%,1
STL,-51.2%,32,-48.3%,31,2-10,-25.4%,32,25.4%,31,-0.4%,21
TB,19.9%,7,21.0%,6,9-3,-1.6%,22,-20.0%,3,1.5%,12
TEN,30.2%,3,31.6%,2,11-1,9.5%,14,-19.3%,4,1.4%,13
WAS,9.2%,14,6.6%,13,7-5,12.5%,9,-1.2%,10,-4.5%,29
