TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-9.4%,22,-10.8%,25,4-8,-26.7%,32,-17.2%,4,0.1%,17
ATL,6.3%,12,2.1%,14,11-1,1.9%,16,-3.7%,13,0.8%,13
BAL,12.6%,9,9.6%,10,9-3,2.7%,14,1.6%,17,11.5%,1
BUF,-7.1%,23,-1.3%,17,5-7,-1.8%,18,9.8%,26,4.4%,6
CAR,-3.5%,19,-2.0%,18,3-9,2.2%,15,-1.3%,14,-7.0%,32
CHI,22.2%,5,20.2%,6,8-4,-13.1%,26,-29.2%,1,6.1%,4
CIN,3.0%,10,11.0%,9,7-5,4.3%,12,4.6%,22,3.3%,9
CLE,-13.6%,25,-10.0%,24,4-8,-15.7%,28,2.1%,19,4.1%,7
DAL,-2.0%,15,-3.9%,19,6-6,3.9%,13,4.6%,23,-1.2%,24
DEN,37.0%,3,38.1%,2,9-3,19.2%,2,-15.4%,5,2.4%,10
DET,0.9%,11,0.8%,15,4-8,11.4%,8,6.3%,24,-4.1%,27
GB,23.7%,6,22.3%,5,8-4,16.2%,4,-6.5%,7,1.0%,12
HOU,18.6%,8,16.4%,8,11-1,6.8%,11,-18.0%,2,-6.1%,31
IND,-19.6%,28,-19.2%,27,8-4,-0.2%,17,17.9%,31,-1.6%,25
JAC,-34.4%,30,-33.2%,30,2-10,-20.6%,30,13.2%,28,-0.6%,21
KC,-35.8%,32,-33.8%,31,2-10,-22.1%,31,14.3%,29,0.6%,14
MIA,-5.3%,20,-6.6%,21,5-7,-10.8%,24,-4.3%,10,1.3%,11
MIN,-4.0%,17,-7.6%,23,6-6,-3.9%,19,4.5%,21,4.5%,5
NE,38.9%,2,39.7%,1,9-3,34.0%,1,1.7%,18,6.6%,2
NO,-3.1%,16,-1.1%,16,5-7,8.6%,9,15.5%,30,3.8%,8
NYG,16.5%,7,18.4%,7,7-5,12.2%,6,-3.8%,12,0.5%,15
NYJ,-10.6%,26,-11.3%,26,5-7,-15.9%,29,-5.6%,8,-0.3%,19
OAK,-34.6%,31,-34.9%,32,3-9,-9.1%,23,19.5%,32,-6.0%,30
PHI,-18.9%,27,-21.4%,28,3-9,-11.4%,25,7.5%,25,-0.1%,18
PIT,-0.4%,18,2.7%,13,7-5,-4.5%,20,-4.0%,11,0.2%,16
SD,-8.3%,24,-6.8%,22,4-8,-9.0%,22,-1.0%,15,-0.3%,20
SEA,31.9%,4,35.6%,3,7-5,12.9%,5,-12.8%,6,6.1%,3
SF,35.1%,1,32.2%,4,8-3-1,18.8%,3,-17.3%,3,-1.0%,23
STL,-4.3%,21,-4.5%,20,5-6-1,-6.4%,21,-4.7%,9,-2.6%,26
TB,2.7%,13,2.9%,12,6-6,7.9%,10,0.5%,16,-4.7%,29
TEN,-28.9%,29,-26.6%,29,4-8,-14.8%,27,13.0%,27,-1.0%,22
WAS,4.3%,14,7.1%,11,6-6,11.8%,7,3.1%,20,-4.3%,28
