Game,EGO,Spread,Spread Target,Pick
DEN @ OAK,14.69,-10.5,"[-11.0, -13.0]",
KC @ CLE,-7.34,7.0,"[6.0, 3.5]",
NYJ @ JAC,2.66,-3.0,"[-4.0, -6.5]",
SD @ PIT,-4.29,7.5,"[8.0, 6.0]",SD
STL @ BUF,-2.92,3.0,"[6.5, 4.5]",
TEN @ IND,-3.84,4.0,"[7.5, 5.5]",
BAL @ WAS,-1.67,1.5,"[5.5, 3.0]",
DAL @ CIN,-5.45,3.5,"[4.0, 2.0]",CIN
PHI @ TB,-7.45,7.0,"[6.0, 4.0]",
ATL @ CAR,-1.32,-3.5,"[-0.0, -2.5]",
CHI @ MIN,4.0,-1.5,"[-0.5, -2.5]",CHI
MIA @ SF,-10.47,10.5,"[14.0, 12.0]",
ARI @ SEA,-12.02,10.0,"[10.5, 8.5]",SEA
NO @ NYG,-6.43,4.5,"[5.0, 2.5]",NYG
DET @ GB,-6.86,6.5,"[5.5, 3.0]",
HOU @ NE,-7.24,5.5,"[5.5, 3.5]",NE
