TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,1.8%,16,6.7%,11,2-3,-9.8%,23,-15.0%,6,-3.4%,24
ATL,20.0%,8,12.1%,7,4-1,25.1%,1,12.4%,26,7.3%,4
BAL,1.6%,11,3.3%,15,3-2,-12.8%,27,-16.9%,5,-2.5%,20
BUF,12.7%,10,8.3%,8,3-2,5.8%,12,-5.1%,11,1.8%,12
CAR,-8.1%,21,-3.7%,20,1-4,-3.4%,20,-2.5%,14,-7.2%,29
CHI,-4.5%,23,-6.0%,23,1-4,1.9%,15,0.8%,18,-5.6%,28
CIN,-3.0%,12,-0.9%,17,2-3,2.3%,14,1.2%,19,-4.2%,25
CLE,-33.4%,31,-30.2%,32,0-5,-11.8%,26,13.4%,27,-8.3%,31
DAL,12.6%,9,8.3%,9,4-1,24.8%,2,11.1%,25,-1.1%,18
DEN,16.9%,4,12.1%,6,4-1,-1.5%,18,-17.4%,4,1.1%,13
DET,-8.5%,26,-5.8%,22,2-3,6.4%,10,23.6%,32,8.7%,3
GB,19.0%,6,14.3%,5,3-1,9.8%,7,-9.9%,8,-0.7%,17
HOU,-29.9%,29,-23.3%,31,3-2,-25.7%,32,-4.0%,13,-8.2%,30
IND,-14.7%,27,-10.9%,26,2-3,-3.4%,21,20.5%,31,9.3%,1
JAC,-6.9%,19,-7.7%,25,1-3,-13.2%,28,-5.9%,10,0.4%,15
KC,0.1%,15,6.6%,12,2-2,-10.8%,25,-6.8%,9,4.1%,10
LARM,-11.0%,24,-7.4%,24,3-2,-21.6%,31,-4.8%,12,5.9%,5
MIA,-15.2%,22,-14.7%,27,1-4,-15.1%,30,4.3%,21,4.1%,9
MIN,36.0%,3,24.5%,2,5-0,5.9%,11,-24.8%,3,5.3%,6
NE,2.1%,17,7.9%,10,4-1,8.4%,9,7.0%,24,0.7%,14
NO,-6.2%,18,-4.3%,21,1-3,10.5%,6,13.8%,28,-2.9%,21
NYG,-1.8%,20,-2.1%,18,2-3,-1.7%,19,-1.5%,16,-1.6%,19
NYJ,-29.8%,32,-21.5%,30,1-4,-10.2%,24,16.4%,30,-3.2%,23
OAK,7.8%,7,4.6%,13,4-1,19.8%,3,15.3%,29,3.4%,11
PHI,33.5%,1,14.5%,4,3-1,8.9%,8,-25.1%,2,-0.5%,16
PIT,20.8%,5,19.5%,3,4-1,17.8%,4,1.3%,20,4.2%,8
SD,7.2%,13,4.6%,14,1-4,10.8%,5,-1.7%,15,-5.3%,27
SEA,32.6%,2,28.9%,1,3-1,-1.5%,17,-29.5%,1,4.6%,7
SF,-14.0%,28,-15.2%,28,1-4,-9.7%,22,-0.7%,17,-5.0%,26
TB,-21.9%,30,-16.6%,29,2-3,-13.7%,29,5.2%,22,-2.9%,22
TEN,0.2%,25,-2.5%,19,2-3,2.9%,13,-10.0%,7,-12.8%,32
WAS,4.1%,14,0.2%,16,3-2,1.5%,16,6.2%,23,8.8%,2
