Game,EGO,Spread,Spread Target,Pick
DEN @ SD,-0.57,-3.0,"[-1.0, -3.0]",SD
BAL @ NYG,-1.04,3.5,"[4.5, 2.5]",BAL
CIN @ NE,-4.14,7.5,"[8.0, 5.5]",CIN
CLE @ TEN,-8.16,7.5,"[6.5, 4.5]",
JAC @ CHI,-2.6,2.5,"[6.5, 4.0]",
LARM @ DET,-2.58,2.5,"[6.5, 4.0]",
PIT @ MIA,5.47,-7.5,"[-7.0, -9.0]",MIA
SF @ BUF,-7.28,7.5,"[11.0, 9.0]",
CAR @ NO,-2.09,-2.5,"[0.5, -1.5]",
PHI @ WAS,0.94,-3.0,"[-2.5, -4.5]",WAS
KC @ OAK,-1.78,-1.0,"[0.5, -2.0]",OAK
DAL @ GB,-3.53,5.0,"[7.0, 5.0]",DAL
ATL @ SEA,-5.86,7.0,"[9.5, 7.5]",
IND @ HOU,0.52,3.0,"[3.0, 1.0]",IND
NYJ @ ARI,-8.27,7.0,"[7.0, 4.5]",ARI
