TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-2.6%,14,-7.2%,19,4-1,-18.9%,27,-14.7%,7,1.6%,14
ATL,29.1%,4,27.0%,4,5-0,14.9%,7,-9.9%,10,4.4%,8
BAL,16.2%,6,14.4%,9,4-1,11.4%,10,-3.2%,15,1.7%,13
BUF,-28.6%,23,-19.8%,27,2-3,-7.5%,21,26.8%,32,5.7%,6
CAR,-14.4%,17,-8.2%,20,1-4,-5.6%,18,5.4%,19,-3.4%,25
CHI,33.0%,8,27.9%,3,4-1,-5.6%,17,-32.4%,1,6.2%,5
CIN,-17.3%,19,-13.0%,25,3-2,-1.3%,16,20.5%,28,4.4%,7
CLE,-22.4%,24,-22.4%,29,0-5,-16.7%,25,9.8%,22,4.1%,9
DAL,-12.0%,25,-6.1%,17,2-2,-12.5%,23,-4.9%,13,-4.4%,27
DEN,22.3%,5,17.6%,8,2-3,14.2%,8,-8.0%,11,0.1%,17
DET,-3.8%,16,-4.3%,14,1-3,16.9%,6,6.6%,20,-14.1%,32
GB,26.0%,7,25.4%,6,2-3,18.0%,5,-5.9%,12,2.0%,11
HOU,33.8%,1,25.7%,5,5-0,19.5%,4,-26.7%,2,-12.3%,30
IND,-11.5%,20,-12.1%,23,2-2,3.0%,13,10.6%,25,-3.9%,26
JAC,-37.3%,29,-30.7%,32,1-4,-20.4%,29,16.4%,27,-0.5%,20
KC,-35.6%,32,-24.9%,30,1-4,-23.6%,30,9.8%,23,-2.1%,23
MIA,12.5%,12,6.2%,12,2-3,-5.7%,19,-18.3%,5,-0.1%,18
MIN,23.5%,9,12.4%,10,4-1,4.6%,12,-11.2%,9,7.7%,3
NE,29.0%,3,31.2%,2,3-2,32.4%,1,1.6%,17,-1.9%,22
NO,-15.0%,21,-6.9%,18,1-4,6.3%,11,21.8%,31,0.5%,16
NYG,23.1%,10,19.5%,7,3-2,29.5%,2,8.2%,21,1.8%,12
NYJ,-17.7%,27,-12.4%,24,2-3,-24.9%,31,2.5%,18,9.7%,1
OAK,-31.3%,31,-21.6%,28,1-3,-0.1%,15,21.5%,30,-9.7%,29
PHI,-8.6%,13,-5.1%,16,3-2,-14.7%,24,-15.0%,6,-8.9%,28
PIT,-13.8%,28,0.3%,13,2-2,2.3%,14,15.8%,26,-0.3%,19
SD,-5.4%,15,-5.0%,15,3-2,-6.1%,20,-0.1%,16,0.5%,15
SEA,21.7%,11,11.9%,11,3-2,-11.5%,22,-24.9%,3,8.3%,2
SF,47.0%,2,34.2%,1,4-1,28.8%,3,-21.2%,4,-3.0%,24
STL,-1.5%,18,-13.7%,26,3-2,-19.6%,28,-14.4%,8,3.7%,10
TB,-14.7%,26,-11.1%,22,1-3,-17.2%,26,-3.8%,14,-1.2%,21
TEN,-40.7%,30,-30.0%,31,1-4,-27.1%,32,20.7%,29,7.1%,4
WAS,-12.2%,22,-9.0%,21,2-3,11.5%,9,10.4%,24,-13.3%,31
