Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+5.0 / -5.0,BUF,ARI,-,+5.0 / -5.0
-2.0 / 2.0,CIN,CLE,-,-2.0 / 2.0
+3.0 / -3.0,DAL,BAL,-,+3.0 / -3.0
+0.0 / -0.0,DEN,SDG,-,+0.0 / -0.0
+3.5 / -3.5,DET,PHI,-,+3.5 / -3.5
+4.0 / -4.0,GNB,HOU,-,+4.0 / -4.0
+3.0 / -3.0,IND,NYJ,-,+3.0 / -3.0
+5.0 / -5.0,KAN,TAM,-,+5.0 / -5.0
-2.0 / 2.0,MIN,WAS,-,-2.0 / 2.0
-4.0 / 4.0,NWE,SEA,-,-4.0 / 4.0
+7.0 / -7.0,NYG,SFO,-,+7.0 / -7.0
+10.0 / -10.0,OAK,ATL,-,+10.0 / -10.0
-6.5 / 6.5,PIT,TEN,-,-6.5 / 6.5
+5.0 / -5.0,STL,MIA,-,+5.0 / -5.0
