TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-3.6%,23,-5.0%,23,5-6-1,-12.2%,26,-14.8%,3,-6.2%,30
ATL,17.3%,1,18.5%,3,7-5,25.1%,1,10.8%,28,3.0%,8
BAL,10.9%,13,13.3%,9,7-5,-12.3%,27,-18.4%,2,4.8%,6
BUF,3.3%,12,3.1%,16,6-6,8.4%,10,5.1%,21,0.0%,16
CAR,-7.2%,22,-7.5%,25,4-8,-4.6%,20,-2.2%,14,-4.8%,29
CHI,-4.4%,24,-3.0%,22,3-9,-4.9%,21,-0.5%,16,0.0%,17
CIN,-0.8%,21,0.2%,21,4-7-1,4.6%,11,2.0%,20,-3.5%,25
CLE,-38.1%,32,-38.7%,32,0-12,-16.7%,30,17.3%,32,-4.0%,28
DAL,19.7%,2,21.6%,2,11-1,25.1%,2,8.4%,26,2.9%,9
DEN,5.4%,15,3.9%,13,8-4,-10.6%,24,-18.5%,1,-2.4%,23
DET,-8.7%,25,-8.3%,26,8-4,1.5%,14,16.1%,31,5.9%,5
GB,5.2%,18,3.4%,15,6-6,8.7%,9,1.5%,18,-2.0%,20
HOU,-24.5%,30,-25.3%,29,6-6,-19.8%,31,-2.2%,13,-6.9%,31
IND,-8.4%,28,-6.3%,24,6-6,-0.4%,16,14.9%,30,6.8%,3
JAC,-16.3%,29,-17.3%,27,2-10,-15.9%,29,-3.5%,10,-3.9%,27
KC,12.2%,8,14.8%,7,9-3,2.8%,12,-3.0%,11,6.5%,4
LARM,-19.3%,26,-17.4%,28,4-8,-29.3%,32,-1.9%,15,8.0%,2
MIA,-0.4%,9,3.8%,14,7-5,-0.7%,18,0.0%,17,0.3%,15
MIN,3.8%,16,0.4%,20,6-6,-11.5%,25,-14.2%,6,1.1%,12
NE,19.9%,5,25.0%,1,10-2,19.6%,3,1.8%,19,2.1%,10
NO,3.7%,11,5.4%,11,5-7,15.8%,5,8.2%,25,-3.9%,26
NYG,4.6%,14,5.0%,12,8-4,-2.8%,19,-9.6%,7,-2.2%,21
NYJ,-32.5%,31,-33.8%,31,3-9,-15.6%,28,9.3%,27,-7.6%,32
OAK,15.6%,7,16.1%,5,10-2,18.4%,4,6.2%,22,3.3%,7
PHI,16.6%,3,15.3%,6,5-7,-6.5%,22,-14.6%,4,8.5%,1
PIT,15.4%,6,14.3%,8,7-5,9.9%,8,-5.9%,8,-0.4%,18
SD,3.0%,17,1.1%,18,5-7,-0.3%,15,-5.1%,9,-1.8%,19
SEA,18.4%,4,17.8%,4,8-3-1,2.5%,13,-14.4%,5,1.5%,11
SF,-22.3%,27,-25.6%,30,1-11,-10.3%,23,12.5%,29,0.5%,14
TB,-0.6%,19,1.0%,19,7-5,-0.7%,17,-2.4%,12,-2.3%,22
TEN,0.7%,20,2.3%,17,6-6,11.8%,7,7.9%,24,-3.2%,24
WAS,7.8%,10,9.8%,10,6-5-1,14.3%,6,7.4%,23,1.0%,13
