Game,EGO,Spread,Spread Target,Pick
OAK @ KC,-1.94,3.5,"[5.5, 3.5]",OAK
ARI @ MIA,-4.14,-2.0,"[2.5, 0.5]",
CHI @ DET,-1.06,7.5,"[5.0, 2.5]",
CIN @ CLE,6.56,-4.5,"[-3.0, -5.0]",CIN
DEN @ TEN,-1.87,2.0,"[5.5, 3.5]",
HOU @ IND,-6.32,6.5,"[10.0, 8.0]",
MIN @ JAC,1.71,-3.0,"[-3.0, -5.5]",JAC
PIT @ BUF,0.25,-1.0,"[-2.0, -4.0]",
SD @ CAR,-0.32,1.0,"[4.0, 2.0]",
WAS @ PHI,-3.42,-2.0,"[2.0, -0.5]",
NYJ @ SF,-4.01,3.0,"[2.5, 0.5]",
ATL @ LARM,5.86,-4.5,"[-2.0, -4.5]",ATL
NO @ TB,-1.26,2.0,"[5.0, 3.0]",
SEA @ GB,0.97,-3.0,"[-2.5, -4.5]",GB
DAL @ NYG,1.46,-3.5,"[-3.0, -5.0]",NYG
BAL @ NE,-4.77,6.0,"[8.5, 6.5]",
