Game,EGO,Spread,Spread Target,Pick
TB @ STL,0.61,2.5,"[3.0, 1.0]",TB
ATL @ JAC,-4.79,3.0,"[3.5, 1.0]",JAC
CAR @ NYG,5.01,-4.0,"[-1.5, -3.5]",
CHI @ MIN,-3.62,5.5,"[7.5, 5.0]",CHI
HOU @ IND,0.29,1.5,"[3.5, 1.0]",HOU
KC @ BAL,7.91,-6.5,"[-4.0, -6.5]",KC
TEN @ NE,-12.85,14.0,"[16.5, 14.5]",
BUF @ WAS,-0.12,-2.5,"[-1.5, -3.5]",WAS
GB @ OAK,-2.11,-3.0,"[0.5, -1.5]",
CLE @ SEA,-16.05,14.0,"[14.5, 12.5]",SEA
CIN @ SF,12.39,-5.5,"[-8.5, -11.0]",
DEN @ PIT,-3.73,6.0,"[7.5, 5.0]",DEN
MIA @ SD,-1.08,1.5,"[5.0, 2.5]",
ARI @ PHI,3.06,-3.5,"[-4.5, -7.0]",
NYJ @ DAL,3.91,-3.0,"[-0.0, -2.5]",
DET @ NO,1.35,2.5,"[2.5, 0.0]",DET
