Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD
2015,ARI,PHI,15,Sun,8:31PM,0,18.2%,-3.5,23,19.5
2015,ATL,JAC,15,Sun,1:02PM,0,-20.2%,3.0,6,9.0
2015,BAL,KC,15,Sun,1:02PM,1,-8.9%,6.5,-20,-13.5
2015,BUF,WAS,15,Sun,1:03PM,0,5.7%,-2.5,-10,-12.5
2015,CAR,NYG,15,Sun,1:02PM,0,30.6%,-4.0,3,-1.0
2015,CHI,MIN,15,Sun,1:02PM,0,-1.1%,5.5,-21,-15.5
2015,CIN,SF,15,Sun,4:25PM,0,31.8%,-5.5,10,4.5
2015,CLE,SEA,15,Sun,4:06PM,0,-26.9%,14.0,-17,-3.0
2015,DAL,NYJ,15,Sat,8:26PM,1,-17.7%,3.0,-3,0.0
2015,DEN,PIT,15,Sun,4:25PM,0,16.5%,6.0,-7,-1.0
2015,DET,NO,15,Mon,8:30PM,0,1.6%,2.5,8,10.5
2015,GB,OAK,15,Sun,4:05PM,0,5.9%,-3.0,10,7.0
2015,HOU,IND,15,Sun,1:02PM,0,-7.2%,1.5,6,7.5
2015,IND,HOU,15,Sun,1:02PM,1,-18.6%,-1.5,-6,-7.5
2015,JAC,ATL,15,Sun,1:02PM,1,-8.4%,-3.0,-6,-9.0
2015,KC,BAL,15,Sun,1:02PM,0,35.8%,-6.5,20,13.5
2015,MIA,SD,15,Sun,4:25PM,0,-17.6%,1.5,-16,-14.5
2015,MIN,CHI,15,Sun,1:02PM,1,5.3%,-5.5,21,15.5
2015,NE,TEN,15,Sun,1:02PM,1,25.5%,-14.0,17,3.0
2015,NO,DET,15,Mon,8:30PM,1,-14.5%,-2.5,-8,-10.5
2015,NYG,CAR,15,Sun,1:02PM,1,-1.6%,4.0,-3,1.0
2015,NYJ,DAL,15,Sat,8:26PM,0,9.7%,-3.0,3,0.0
2015,OAK,GB,15,Sun,4:05PM,1,5.4%,3.0,-10,-7.0
2015,PHI,ARI,15,Sun,8:31PM,1,-5.5%,3.5,-23,-19.5
2015,PIT,DEN,15,Sun,4:25PM,1,23.4%,-6.0,7,1.0
2015,SD,MIA,15,Sun,4:25PM,1,-22.8%,-1.5,16,14.5
2015,SEA,CLE,15,Sun,4:06PM,1,39.8%,-14.0,17,3.0
2015,SF,CIN,15,Sun,4:25PM,1,-31.6%,5.5,-10,-4.5
2015,STL,TB,15,Thu,8:25PM,1,-10.8%,-2.5,8,5.5
2015,TB,STL,15,Thu,8:25PM,0,2.0%,2.5,-8,-5.5
2015,TEN,NE,15,Sun,1:02PM,0,-25.1%,14.0,-17,-3.0
2015,WAS,BUF,15,Sun,1:03PM,1,-3.8%,2.5,10,12.5
