Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-3.5 / 3.5,ARI,PHI,-,-3.5 / 3.5
+3.0 / -3.0,ATL,JAX,-,+3.0 / -3.0
-2.5 / 2.5,BUF,WAS,-,-2.5 / 2.5
-4.0 / 4.0,CAR,NYG,-,-4.0 / 4.0
+5.5 / -5.5,CHI,MIN,-,+5.5 / -5.5
-5.5 / 5.5,CIN,SFO,-,-5.5 / 5.5
+14.0 / -14.0,CLE,SEA,-,+14.0 / -14.0
+6.0 / -6.0,DEN,PIT,-,+6.0 / -6.0
+2.5 / -2.5,DET,NOR,-,+2.5 / -2.5
-3.0 / 3.0,GNB,OAK,-,-3.0 / 3.0
+1.5 / -1.5,HOU,IND,-,+1.5 / -1.5
-6.5 / 6.5,KAN,BAL,-,-6.5 / 6.5
+1.5 / -1.5,MIA,SDG,-,+1.5 / -1.5
-3.0 / 3.0,NYJ,DAL,-,-3.0 / 3.0
+2.5 / -2.5,TAM,STL,-,+2.5 / -2.5
+14.0 / -14.0,TEN,NWE,-,+14.0 / -14.0
