Game,EGO,Spread,Spread Target,Pick
NYG @ PHI,-3.51,5.0,"[7.0, 5.0]",NYG
BUF @ NYJ,3.68,-10.0,"[-5.0, -7.5]",
CAR @ NO,-7.87,6.5,"[6.5, 4.0]",NO
CLE @ CIN,-0.04,-3.5,"[-1.5, -3.5]",CIN
DAL @ WAS,-0.48,1.0,"[4.0, 2.0]",
DET @ ATL,-1.56,1.5,"[5.5, 3.0]",
GB @ HOU,-1.08,-3.0,"[-0.5, -2.5]",
PIT @ TEN,-0.3,1.0,"[4.0, 2.0]",
TB @ LV,4.0,-4.0,"[-0.5, -2.5]",
JAX @ LAC,-5.2,7.5,"[9.0, 6.5]",JAX
KC @ DEN,5.15,-7.0,"[-6.5, -9.0]",DEN
SF @ NE,-0.55,3.0,"[4.0, 2.0]",SF
SEA @ ARI,-0.46,-3.5,"[-1.0, -3.0]",
CHI @ LAR,-4.59,6.0,"[8.5, 6.0]",CHI
