Game,EGO,Spread,Spread Target,Pick
KC @ OAK,4.78,-3.0,"[-1.0, -3.5]",KC
ARI @ LARM,-9.93,3.0,"[8.5, 6.0]",
BAL @ MIN,-3.36,5.0,"[7.0, 5.0]",BAL
CAR @ CHI,4.16,-2.5,"[-0.5, -2.5]",CAR
JAC @ IND,7.86,-3.0,"[-4.0, -6.5]",
NO @ GB,-0.26,-3.5,"[-1.0, -3.5]",GB
NYJ @ MIA,-1.76,3.0,"[5.5, 3.5]",
TB @ BUF,-5.37,3.0,"[4.0, 1.5]",BUF
TEN @ CLE,7.21,-5.5,"[-3.5, -5.5]",TEN
DAL @ SF,2.5,-6.5,"[-4.0, -6.0]",
CIN @ PIT,-5.69,4.0,"[4.0, 2.0]",PIT
DEN @ LACH,-1.19,-1.0,"[-0.5, -2.5]",LACH
SEA @ NYG,3.09,-4.0,"[-4.5, -7.0]",
ATL @ NE,-3.58,3.0,"[2.0, -0.0]",
WAS @ PHI,-3.8,5.0,"[7.5, 5.5]",
