TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-21.6%,30,-18.3%,26,3-3,-10.2%,25,2.1%,19,-9.3%,28
ATL,6.0%,13,5.1%,17,3-2,15.8%,4,12.4%,27,2.5%,12
BAL,10.6%,18,8.6%,12,3-3,-13.7%,26,-14.4%,5,9.9%,1
BUF,12.4%,10,5.9%,15,3-2,-7.9%,22,-16.1%,2,4.3%,8
CAR,7.2%,17,5.7%,16,4-2,-1.3%,20,-6.1%,13,2.5%,13
CHI,-26.8%,28,-22.8%,30,2-4,-20.0%,29,-2.8%,16,-9.6%,29
CIN,8.3%,15,6.8%,14,2-3,-9.5%,23,-15.8%,3,2.0%,16
CLE,-47.8%,32,-42.1%,32,0-6,-29.1%,31,10.8%,25,-7.9%,27
DAL,-2.5%,23,1.7%,19,2-3,9.4%,10,15.9%,30,4.0%,9
DEN,-0.3%,16,-2.3%,21,3-2,-1.2%,19,-11.3%,8,-10.5%,30
DET,11.7%,8,9.3%,11,3-3,-10.1%,24,-12.4%,7,9.3%,2
GB,3.8%,11,2.5%,18,4-2,4.0%,14,1.3%,18,1.1%,18
HOU,18.2%,6,12.7%,7,3-3,7.3%,12,-12.8%,6,-1.8%,21
IND,-41.9%,31,-36.4%,31,2-4,-29.6%,32,15.6%,29,3.3%,10
JAC,12.2%,3,8.1%,13,3-3,2.1%,16,-20.7%,1,-10.6%,31
KC,31.8%,1,25.7%,1,5-1,32.4%,1,6.8%,21,6.3%,4
LACH,-8.0%,24,-7.0%,23,2-4,3.7%,15,0.8%,17,-10.8%,32
LARM,21.6%,7,17.9%,4,4-2,5.7%,13,-9.8%,9,6.0%,7
MIA,-28.3%,29,-22.7%,29,3-2,-22.7%,30,6.7%,20,1.0%,19
MIN,17.5%,14,13.8%,5,4-2,10.2%,9,-8.3%,11,-1.0%,20
NE,7.4%,21,11.3%,10,4-2,26.1%,2,21.1%,32,2.4%,14
NO,18.1%,9,11.4%,8,3-2,18.3%,3,-3.9%,15,-4.2%,25
NYG,-16.8%,26,-12.5%,25,1-5,-2.6%,21,7.2%,22,-6.9%,26
NYJ,-21.7%,25,-20.6%,28,3-3,-14.9%,27,8.9%,23,2.1%,15
OAK,-8.0%,22,-5.5%,22,2-4,1.2%,17,15.2%,28,6.0%,6
PHI,24.5%,5,20.7%,3,5-1,12.1%,5,-5.2%,14,7.2%,3
PIT,24.3%,4,22.8%,2,4-2,11.8%,6,-15.4%,4,-2.9%,23
SEA,9.1%,12,11.3%,9,3-2,0.3%,18,-7.6%,12,1.2%,17
SF,-21.0%,27,-19.5%,27,0-6,-18.0%,28,9.3%,24,6.2%,5
TB,-9.7%,19,-8.6%,24,2-3,10.6%,7,17.0%,31,-3.4%,24
TEN,0.5%,20,-0.4%,20,3-3,8.9%,11,11.4%,26,3.0%,11
WAS,18.1%,2,13.5%,6,3-2,10.6%,8,-9.5%,10,-1.9%,22
