Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+5.5 / -5.5,ARI,CAR,-,+5.5 / -5.5
+9.5 / -9.5,ATL,PHI,-,+9.5 / -9.5
+1.0 / -1.0,BUF,MIA,-,+1.0 / -1.0
+9.0 / -9.0,CIN,HOU,-,+9.0 / -9.0
+7.0 / -7.0,CLE,JAX,-,+7.0 / -7.0
+4.0 / -4.0,IND,TEN,-,+4.0 / -4.0
+14.0 / -14.0,KAN,NYJ,-,+14.0 / -14.0
+3.0 / -3.0,NYG,PIT,-,+3.0 / -3.0
+8.0 / -8.0,OAK,BAL,-,+8.0 / -8.0
-3.0 / 3.0,SDG,NOR,-,-3.0 / 3.0
+5.5 / -5.5,SEA,SFO,-,+5.5 / -5.5
+9.0 / -9.0,STL,NWE,-,+9.0 / -9.0
+1.5 / -1.5,TAM,DAL,-,+1.5 / -1.5
-7.0 / 7.0,WAS,DET,-,-7.0 / 7.0
