TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,16.6%,16,11.8%,12,3-2,19.7%,5,0.5%,14,-2.6%,25
ATL,5.9%,13,-6.7%,23,3-2,17.4%,7,15.8%,26,4.2%,8
BAL,42.5%,1,26.8%,3,2-2,3.0%,14,-43.4%,1,-3.9%,29
BUF,3.1%,6,-1.7%,20,4-1,1.5%,16,3.4%,16,5.0%,5
CAR,20.3%,12,16.0%,6,4-1,9.3%,11,-8.6%,9,2.3%,14
CHI,14.4%,11,9.9%,13,3-2,-2.3%,19,-11.9%,8,4.8%,6
CIN,-31.9%,28,-23.9%,28,0-5,-23.7%,30,8.7%,20,0.4%,17
CLE,-24.9%,27,-20.2%,27,1-3,-24.7%,31,6.3%,18,6.2%,4
DAL,18.1%,8,16.3%,5,4-1,28.3%,4,9.0%,21,-1.2%,22
DEN,7.0%,15,5.9%,16,4-1,29.8%,2,21.2%,29,-1.6%,24
DET,-65.2%,32,-47.8%,31,0-4,-20.0%,28,47.2%,32,2.0%,16
GB,2.7%,17,11.9%,11,2-3,-1.6%,18,-1.3%,12,3.1%,13
HOU,-38.7%,29,-24.4%,29,0-4,-5.6%,23,32.5%,30,-0.6%,20
IND,-9.1%,25,2.3%,18,2-2,6.0%,12,11.7%,23,-3.4%,27
JAC,-10.7%,24,-5.0%,22,2-3,4.8%,13,19.9%,28,4.5%,7
KC,-54.0%,30,-43.9%,30,1-4,-35.4%,32,15.4%,24,-3.2%,26
MIA,14.7%,19,0.3%,19,2-2,19.4%,6,-5.9%,10,-10.6%,31
MIN,-0.5%,20,6.0%,15,2-3,-0.9%,17,-14.1%,6,-13.7%,32
NE,-8.8%,26,4.4%,17,3-1,-2.5%,20,15.7%,25,9.4%,1
NO,9.9%,14,7.5%,14,2-3,11.2%,10,9.6%,22,8.4%,2
NYG,56.7%,2,36.5%,1,4-0,41.1%,1,-12.4%,7,3.2%,10
NYJ,-1.5%,23,-2.9%,21,2-2,2.5%,15,3.6%,17,-0.5%,18
OAK,-6.3%,22,-13.3%,26,1-3,-12.3%,27,1.6%,15,7.6%,3
PHI,32.7%,3,32.8%,2,2-3,13.3%,9,-16.1%,5,3.2%,11
PIT,15.0%,10,12.7%,10,4-1,-6.4%,24,-18.3%,3,3.1%,12
SD,7.9%,9,12.9%,9,2-3,13.8%,8,8.2%,19,2.3%,15
SEA,-27.9%,21,-10.5%,24,1-3,-7.3%,25,16.8%,27,-3.7%,28
SF,-4.3%,18,-10.6%,25,2-3,-9.7%,26,-1.6%,11,3.9%,9
STL,-65.3%,31,-50.1%,32,0-4,-23.4%,29,40.5%,31,-1.4%,23
TB,13.7%,5,15.4%,7,3-2,-3.7%,22,-17.9%,4,-0.5%,19
TEN,28.6%,4,20.2%,4,5-0,-2.9%,21,-32.3%,2,-0.8%,21
WAS,24.5%,7,15.4%,8,4-1,28.7%,3,-0.1%,13,-4.2%,30
