Game,EGO,Spread,Spread Target,Pick
BAL @ IND,3.25,4.0,"[0.5, -2.0]",
CAR @ TB,-2.09,1.0,"[0.5, -1.5]",
CHI @ ATL,1.46,-3.0,"[-3.0, -5.0]",ATL
CIN @ NYJ,-6.75,8.0,"[10.5, 8.0]",CIN
MIA @ HOU,3.29,3.0,"[0.5, -2.0]",
OAK @ NO,-6.71,7.0,"[10.5, 8.0]",
STL @ WAS,-15.81,13.5,"[14.5, 12.0]",WAS
DET @ MIN,-13.49,13.0,"[12.0, 10.0]",
JAC @ DEN,-4.59,3.0,"[3.0, 1.0]",DEN
DAL @ ARI,-1.23,-5.0,"[-0.5, -2.5]",
PHI @ SF,7.61,-5.0,"[-4.0, -6.0]",PHI
GB @ SEA,2.77,1.0,"[1.0, -1.5]",GB
NE @ SD,-4.08,6.0,"[8.0, 5.5]",NE
NYG @ CLE,10.78,-8.0,"[-7.0, -9.5]",NYG
