Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ATL,DET,7,Sun,October 25,1:00PM,1,boxscore,22,23,386,0,388,1,-2.8%,1.5
BUF,NYJ,7,Sun,October 25,1:00PM,0,boxscore,18,10,422,1,191,2,1.4%,-4.5
CAR,NO,7,Sun,October 25,1:00PM,0,boxscore,24,27,415,1,283,0,-8.3%,-1.5
CHI,LAR,7,Mon,October 26,8:15PM,0,boxscore,10,24,371,1,279,2,-0.7%,4.0
CIN,CLE,7,Sun,October 25,1:00PM,1,boxscore,34,37,398,1,468,2,-18.8%,7.0
CLE,CIN,7,Sun,October 25,1:00PM,0,boxscore,37,34,398,1,468,2,-8.9%,-2.5
DAL,WAS,7,Sun,October 25,1:00PM,0,boxscore,3,25,397,0,142,1,-12.0%,11.0
DEN,KC,7,Sun,October 25,4:25PM,1,boxscore,16,43,286,1,411,4,-10.9%,3.5
DET,ATL,7,Sun,October 25,1:00PM,0,boxscore,23,22,386,0,388,1,0.2%,3.0
GB,HOU,7,Sun,October 25,1:00PM,0,boxscore,35,20,379,0,365,1,4.7%,-6.5
KC,DEN,7,Sun,October 25,4:25PM,0,boxscore,43,16,286,1,411,4,21.9%,-20.0
LAC,JAX,7,Sun,October 25,4:25PM,1,boxscore,39,29,484,0,294,1,-2.4%,-3.5
LAR,CHI,7,Mon,October 26,8:15PM,1,boxscore,24,10,371,1,279,2,10.2%,-3.5
LV,TB,7,Sun,October 25,4:05PM,1,boxscore,20,45,454,0,347,1,-4.2%,2.5
NE,SF,7,Sun,October 25,4:25PM,1,boxscore,6,33,467,2,241,4,-2.2%,4.5
NO,CAR,7,Sun,October 25,1:00PM,1,boxscore,27,24,415,1,283,0,18.0%,-4.0
NYG,PHI,7,Thu,October 22,8:20PM,0,boxscore,21,22,442,1,325,3,-15.3%,12.5
NYJ,BUF,7,Sun,October 25,1:00PM,1,boxscore,10,18,422,1,191,2,-25.0%,20.0
PHI,NYG,7,Thu,October 22,8:20PM,1,boxscore,22,21,442,1,325,3,-9.4%,-11.0
PIT,TEN,7,Sun,October 25,1:00PM,0,boxscore,27,24,362,3,292,0,16.3%,4.0
SEA,ARI,7,Sun,October 25,8:20PM,0,boxscore,34,37,519,2,572,3,14.0%,-3.0
SF,NE,7,Sun,October 25,4:25PM,0,boxscore,33,6,467,2,241,4,5.4%,3.0
TB,LV,7,Sun,October 25,4:05PM,0,boxscore,45,20,454,0,347,1,23.6%,-12.5
TEN,PIT,7,Sun,October 25,1:00PM,1,boxscore,24,27,362,3,292,0,7.6%,-7.0
