Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD
2020,ATL,DET,7,Sun,1:00PM,1,-2.8%,1.5,-1,0.5
2020,BUF,NYJ,7,Sun,1:00PM,0,1.4%,-4.5,8,3.5
2020,CAR,NO,7,Sun,1:00PM,0,-8.3%,-1.5,-3,-4.5
2020,CHI,LAR,7,Mon,8:15PM,0,-0.7%,4.0,-14,-10.0
2020,CIN,CLE,7,Sun,1:00PM,1,-18.8%,7.0,-3,4.0
2020,CLE,CIN,7,Sun,1:00PM,0,-8.9%,-2.5,3,0.5
2020,DAL,WAS,7,Sun,1:00PM,0,-12.0%,11.0,-22,-11.0
2020,DEN,KC,7,Sun,4:25PM,1,-10.9%,3.5,-27,-23.5
2020,DET,ATL,7,Sun,1:00PM,0,0.2%,3.0,1,4.0
2020,GB,HOU,7,Sun,1:00PM,0,4.7%,-6.5,15,8.5
2020,KC,DEN,7,Sun,4:25PM,0,21.9%,-20.0,27,7.0
2020,LAC,JAX,7,Sun,4:25PM,1,-2.4%,-3.5,10,6.5
2020,LAR,CHI,7,Mon,8:15PM,1,10.2%,-3.5,14,10.5
2020,LV,TB,7,Sun,4:05PM,1,-4.2%,2.5,-25,-22.5
2020,NE,SF,7,Sun,4:25PM,1,-2.2%,4.5,-27,-22.5
2020,NO,CAR,7,Sun,1:00PM,1,18.0%,-4.0,3,-1.0
2020,NYG,PHI,7,Thu,8:20PM,0,-15.3%,12.5,-1,11.5
2020,NYJ,BUF,7,Sun,1:00PM,1,-25.0%,20.0,-8,12.0
2020,PHI,NYG,7,Thu,8:20PM,1,-9.4%,-11.0,1,-10.0
2020,PIT,TEN,7,Sun,1:00PM,0,16.3%,4.0,3,7.0
2020,SEA,ARI,7,Sun,8:20PM,0,14.0%,-3.0,-3,-6.0
2020,SF,NE,7,Sun,4:25PM,0,5.4%,3.0,27,30.0
2020,TB,LV,7,Sun,4:05PM,0,23.6%,-12.5,25,12.5
2020,TEN,PIT,7,Sun,1:00PM,1,7.6%,-7.0,-3,-10.0
