Game,EGO,Spread,Spread Target,Pick
BUF @ NYJ,3.68,-4.5,"[-5.0, -7.5]",
CAR @ NO,-7.87,-1.5,"[6.5, 4.0]",
CHI @ LAR,-4.59,4.0,"[3.0, 1.0]",
CLE @ CIN,-0.04,-2.5,"[-1.5, -3.5]",CIN
DAL @ WAS,-0.73,11.0,"[4.5, 2.0]",
DET @ ATL,-1.56,3.0,"[5.5, 3.0]",DET
GB @ HOU,-0.57,-6.5,"[-1.0, -3.0]",
KC @ DEN,5.15,-20.0,"[-6.5, -9.0]",
NYG @ PHI,-3.51,12.5,"[7.0, 5.0]",
PIT @ TEN,-0.3,4.0,"[4.0, 2.0]",PIT
SEA @ ARI,-0.82,-3.0,"[-0.5, -3.0]",ARI
SF @ NE,-0.55,3.0,"[4.0, 2.0]",SF
TB @ LV,4.0,-12.5,"[-5.5, -7.5]",
