TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,-21.9%,30,-17.1%,28,1-3-1,-6.9%,23,12.8%,30,-2.2%,25
ATL,-16.3%,23,-8.6%,25,1-4,-1.3%,20,10.4%,27,-4.7%,30
BAL,14.6%,5,10.8%,8,3-2,14.0%,5,9.4%,24,10.0%,1
BUF,-2.2%,20,-5.4%,22,4-1,-11.4%,27,-15.4%,3,-6.2%,31
CAR,3.4%,13,3.0%,16,3-2,-4.9%,21,-7.1%,8,1.2%,9
CHI,4.9%,8,4.4%,15,3-2,-9.8%,26,-10.7%,5,4.1%,4
CIN,-39.8%,31,-26.6%,31,0-5,-19.5%,28,19.4%,31,-0.9%,18
CLE,-14.2%,14,-7.5%,24,2-3,-19.8%,29,-0.6%,15,4.9%,3
DAL,20.7%,3,14.3%,6,3-2,27.2%,1,2.9%,19,-3.6%,27
DEN,-7.1%,27,-9.2%,26,1-4,-0.2%,19,-0.1%,16,-7.0%,32
DET,7.5%,10,5.2%,13,2-1-1,1.2%,17,-4.0%,12,2.3%,8
GB,12.8%,9,8.9%,9,4-1,6.8%,9,-6.1%,9,-0.1%,14
HOU,8.3%,17,8.2%,11,3-2,3.8%,13,-4.5%,11,0.0%,13
IND,-7.4%,26,-6.7%,23,3-2,6.4%,10,10.2%,26,-3.6%,26
JAX,5.3%,18,-1.5%,18,2-3,11.4%,7,9.8%,25,3.7%,6
KC,22.1%,4,19.6%,3,4-1,26.9%,2,2.8%,18,-2.0%,23
LAC,-5.9%,19,4.6%,14,2-3,2.6%,15,10.8%,28,2.4%,7
LAR,1.3%,12,7.9%,12,3-2,4.3%,12,1.9%,17,-1.1%,20
MIA,-90.9%,32,-57.0%,32,0-4,-46.1%,32,40.8%,32,-4.1%,29
MIN,13.7%,15,8.6%,10,3-2,2.3%,16,-12.0%,4,-0.6%,15
NE,55.1%,1,37.9%,1,5-0,9.8%,8,-46.2%,1,-0.8%,16
NO,5.6%,21,14.7%,5,4-1,3.2%,14,4.1%,20,6.5%,2
NYG,-13.3%,22,-15.8%,27,2-3,-5.0%,22,9.4%,23,1.2%,10
NYJ,-37.9%,28,-19.1%,29,0-4,-43.3%,31,-5.0%,10,0.3%,11
OAK,-0.4%,25,-3.6%,20,3-2,4.6%,11,4.2%,21,-0.9%,17
PHI,21.6%,6,16.0%,4,3-2,12.7%,6,-8.7%,6,0.2%,12
PIT,-2.8%,24,-1.2%,17,1-4,-9.2%,25,-7.5%,7,-1.1%,19
SEA,12.6%,11,11.2%,7,4-1,19.6%,3,5.2%,22,-1.7%,22
SF,58.1%,2,25.8%,2,4-0,15.0%,4,-45.3%,2,-2.2%,24
TB,2.4%,7,-4.3%,21,2-3,0.6%,18,-3.4%,13,-1.7%,21
TEN,-9.3%,16,-2.5%,19,2-3,-8.7%,24,-3.2%,14,-3.9%,28
WAS,-32.3%,29,-25.0%,30,0-5,-24.0%,30,12.0%,29,3.8%,5
