Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-3.0 / 3.0,ATL,ARI,-,-3.0 / 3.0
-2.0 / 2.0,CAR,TAM,-,-2.0 / 2.0
+10.5 / -10.5,CIN,BAL,-,+10.5 / -10.5
-7.0 / 7.0,DAL,NYJ,-,-7.0 / 7.0
+3.5 / -3.5,DET,GNB,-,+3.5 / -3.5
+3.5 / -3.5,HOU,KAN,-,+3.5 / -3.5
+2.5 / -2.5,NOR,JAX,-,+2.5 / -2.5
+16.5 / -16.5,NYG,NWE,-,+16.5 / -16.5
+3.5 / -3.5,PHI,MIN,-,+3.5 / -3.5
+6.0 / -6.0,PIT,LAC,-,+6.0 / -6.0
+1.0 / -1.0,SEA,CLE,-,+1.0 / -1.0
+3.0 / -3.0,SFO,LAR,-,+3.0 / -3.0
+1.0 / -1.0,TEN,DEN,-,+1.0 / -1.0
-6.0 / 6.0,WAS,MIA,-,-6.0 / 6.0
