Game,EGO,Spread,Spread Target,Pick
NYG @ NE,-13.47,16.5,"[17.0, 15.0]",NYG
CIN @ BAL,-10.18,10.5,"[14.0, 11.5]",
HOU @ KC,-4.7,3.5,"[3.0, 1.0]",
NO @ JAX,1.37,2.5,"[2.5, 0.0]",NO
PHI @ MIN,-0.59,3.5,"[4.5, 2.0]",PHI
SEA @ CLE,1.94,1.0,"[2.0, -0.5]",SEA
WAS @ MIA,4.96,-6.0,"[-6.5, -8.5]",
ATL @ ARI,-0.35,-3.0,"[-1.0, -3.5]",ARI
SF @ LAR,1.76,3.0,"[2.0, -0.5]",
DAL @ NYJ,5.29,-7.0,"[-7.0, -9.0]",NYJ
TEN @ DEN,-0.75,1.0,"[4.5, 2.0]",
PIT @ LAC,-3.49,6.0,"[7.0, 5.0]",PIT
CAR @ TB,-0.61,-2.0,"[-1.0, -3.0]",TB
DET @ GB,-3.03,3.5,"[6.5, 4.5]",
