Game,EGO,Spread,Spread Target,Pick
IND @ JAC,4.57,-3.0,"[-1.0, -3.0]",IND
CLE @ KC,-1.23,3.0,"[5.0, 2.5]",CLE
HOU @ STL,11.14,-14.0,"[-12.5, -15.0]",STL
ARI @ DET,14.28,-14.0,"[-10.5, -13.0]",
MIA @ TEN,-1.37,4.5,"[5.0, 3.0]",MIA
NE @ BUF,7.51,-7.0,"[-4.0, -6.0]",
ATL @ NYJ,-5.24,7.0,"[9.0, 6.5]",ATL
CIN @ SD,-4.88,7.0,"[8.5, 6.5]",CIN
OAK @ DEN,-12.91,14.0,"[16.5, 14.5]",
CHI @ BAL,-12.71,11.0,"[11.0, 9.0]",BAL
GB @ PIT,1.41,2.5,"[2.5, 0.0]",GB
SF @ PHI,-6.58,7.5,"[10.5, 8.0]",
TB @ SEA,-3.49,6.5,"[7.0, 5.0]",TB
MIN @ CAR,2.63,-9.0,"[-4.0, -6.5]",
DAL @ NO,-3.6,7.5,"[7.5, 5.0]",DAL
NYG @ WAS,-1.34,-3.0,"[-0.0, -2.5]",
