TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,18.8%,7,19.7%,9,8-5,13.7%,13,-1.4%,13,3.7%,5
ATL,-3.5%,21,-8.5%,23,6-7,8.3%,16,12.0%,26,0.2%,18
BAL,27.7%,8,26.2%,6,7-6,17.8%,7,-7.9%,6,2.1%,10
BUF,-13.1%,25,-14.3%,24,5-8,-18.4%,25,-2.2%,9,3.1%,6
CAR,-7.0%,22,1.4%,21,5-8,-6.7%,21,-3.3%,8,-3.6%,29
CHI,-20.8%,26,-23.7%,25,5-8,-19.3%,26,5.5%,19,4.0%,4
CIN,5.3%,15,4.4%,18,9-4,6.4%,18,-0.1%,15,-1.3%,25
CLE,-31.3%,31,-31.6%,27,2-11,-19.7%,27,18.9%,30,7.3%,1
DAL,17.5%,9,20.5%,8,8-5,22.9%,4,6.0%,21,0.6%,16
DEN,16.5%,10,14.2%,12,8-5,3.8%,19,-13.4%,3,-0.7%,24
DET,-52.0%,32,-51.6%,32,2-11,-25.8%,32,21.2%,32,-5.1%,31
GB,27.5%,3,29.0%,2,9-4,19.0%,6,-16.4%,2,-8.0%,32
HOU,13.9%,14,19.0%,10,6-7,16.7%,8,5.8%,20,3.0%,7
IND,29.2%,4,29.2%,1,13-0,24.4%,3,-4.7%,7,0.1%,19
JAC,0.2%,19,-1.1%,22,7-6,9.0%,15,8.4%,22,-0.3%,22
KC,-32.8%,29,-36.1%,29,3-10,-25.0%,30,9.7%,23,1.9%,13
MIA,6.2%,16,7.7%,15,7-6,8.1%,17,4.9%,18,2.9%,8
MIN,22.8%,6,23.2%,7,11-2,15.8%,9,-0.2%,14,6.8%,2
NE,28.2%,5,28.7%,3,8-5,29.6%,2,3.5%,17,2.0%,12
NO,31.3%,1,26.8%,5,13-0,31.1%,1,-1.8%,11,-1.6%,26
NYG,11.3%,12,7.3%,16,7-6,14.3%,11,0.6%,16,-2.5%,28
NYJ,8.7%,17,5.4%,17,7-6,-11.0%,23,-17.3%,1,2.3%,9
OAK,-36.9%,30,-36.7%,30,4-9,-25.4%,31,12.5%,28,1.1%,14
PHI,31.3%,2,28.6%,4,9-4,14.0%,12,-10.5%,5,6.7%,3
PIT,11.8%,11,12.6%,13,6-7,14.5%,10,-1.9%,10,-4.6%,30
SD,10.2%,13,16.6%,11,10-3,21.4%,5,10.8%,25,-0.3%,21
SEA,-23.6%,24,-28.9%,26,5-8,-13.6%,24,12.0%,27,2.1%,11
SF,4.9%,18,8.4%,14,6-7,-7.0%,22,-11.8%,4,0.1%,20
STL,-40.7%,28,-39.2%,31,1-12,-21.0%,29,19.9%,31,0.2%,17
TB,-33.3%,27,-34.7%,28,1-12,-20.1%,28,14.0%,29,0.8%,15
TEN,-2.1%,23,3.8%,19,6-7,10.0%,14,10.5%,24,-1.7%,27
WAS,-0.5%,20,3.3%,20,4-9,-1.8%,20,-1.7%,12,-0.4%,23
