TEAM,TOTALDVOA,LASTWEEK,W-L,WDVOA,RANK,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,SPECIALDVOA,S.T.RANK
ARI,-30.3%,32,2-8,-29.6%,32,-20.7%,30,1.1%,18,-8.5%,32
ATL,-10.5%,21,5-5,-10.4%,22,-5.1%,21,1.7%,19,-3.7%,30
BAL,24.5%,8,8-2,23.1%,7,-3.9%,20,-22.8%,3,5.6%,3
BUF,-15.0%,25,4-6,-17.2%,26,-13.2%,25,6.9%,23,5.1%,4
CAR,4.7%,16,6-4,7.0%,12,0.3%,16,-7.7%,12,-3.3%,29
CHI,34.3%,2,9-1,34.1%,1,-3.4%,19,-28.8%,1,8.9%,1
CIN,6.6%,14,5-5,4.3%,14,15.3%,3,10.4%,27,1.8%,10
CLE,-7.5%,24,3-7,-5.8%,17,-19.4%,29,-5.8%,13,6.2%,2
DAL,24.5%,6,6-4,25.7%,3,9.9%,7,-15.8%,4,-1.3%,22
DEN,7.8%,10,7-3,9.2%,10,3.0%,12,-4.6%,14,0.2%,17
DET,-25.4%,27,2-8,-25.9%,30,-7.0%,22,19.0%,31,0.6%,15
GB,-9.9%,17,4-6,-8.6%,21,-2.3%,17,5.4%,20,-2.3%,26
HOU,-15.8%,26,3-7,-13.0%,23,5.1%,10,19.6%,32,-1.3%,23
IND,16.8%,5,9-1,15.9%,9,28.4%,1,8.5%,25,-3.0%,28
JAC,24.9%,7,6-4,24.1%,5,-3.0%,18,-26.2%,2,1.7%,11
KC,6.7%,11,6-4,7.4%,11,2.4%,13,-2.8%,15,1.5%,13
MIA,-9.0%,20,4-6,-7.0%,19,-15.9%,27,-9.2%,9,-2.3%,27
MIN,-5.4%,18,4-6,-6.3%,18,-17.1%,28,-11.5%,6,0.2%,18
NE,18.8%,9,7-3,21.6%,8,8.6%,8,-8.2%,10,2.0%,8
NO,4.2%,13,6-4,2.0%,15,12.1%,6,9.4%,26,1.5%,12
NYG,23.1%,3,6-4,23.8%,6,13.6%,5,-9.2%,8,0.3%,16
NYJ,-12.4%,23,5-5,-13.6%,24,0.4%,15,16.2%,30,3.4%,6
OAK,-25.7%,29,2-8,-23.9%,29,-33.0%,32,-7.9%,11,-0.6%,19
PHI,28.2%,1,5-5,25.2%,4,14.4%,4,-15.4%,5,-1.7%,25
PIT,4.7%,12,4-6,4.9%,13,1.4%,14,-10.4%,7,-7.1%,31
SD,33.9%,4,8-2,32.8%,2,27.1%,2,-1.9%,16,4.9%,5
SEA,-15.7%,22,6-4,-17.4%,27,-9.3%,24,8.4%,24,2.1%,7
SF,-25.0%,31,5-5,-27.2%,31,-7.8%,23,15.8%,28,-1.5%,24
STL,-3.4%,15,4-6,-4.7%,16,3.1%,11,5.5%,21,-1.1%,20
TB,-21.6%,28,3-7,-21.0%,28,-21.1%,31,-0.7%,17,-1.2%,21
TEN,-19.5%,30,3-7,-15.8%,25,-14.8%,26,6.7%,22,2.0%,9
WAS,-6.5%,19,3-7,-7.7%,20,8.2%,9,15.9%,29,1.2%,14
