Game,EGO,Spread,Spread Target,Pick
BAL @ CIN,1.96,2.5,"[1.5, -0.5]",
ARI @ STL,-7.57,6.5,"[6.0, 4.0]",
DET @ NE,-12.24,13.5,"[16.0, 13.5]",DET
NYJ @ GB,-3.32,0.0,"[2.0, -0.5]",GB
SD @ BUF,9.18,-5.5,"[-5.5, -7.5]",SD
ATL @ WAS,-2.81,1.5,"[1.5, -1.0]",WAS
IND @ TEN,4.9,-7.5,"[-6.5, -8.5]",TEN
KC @ CLE,0.7,-5.0,"[-2.0, -4.5]",
MIN @ CHI,-10.8,9.0,"[9.5, 7.0]",CHI
SF @ NO,-8.48,7.0,"[7.0, 5.0]",NO
HOU @ OAK,0.18,3.5,"[3.5, 1.5]",HOU
JAC @ MIA,4.76,0.0,"[-1.0, -3.5]",
DAL @ NYG,-1.81,-3.5,"[0.5, -2.0]",
TB @ PIT,-7.78,7.0,"[6.5, 4.0]",
SEA @ DEN,-7.93,4.0,"[6.5, 4.0]",DEN
CAR @ PHI,-6.15,-3.0,"[4.5, 2.5]",
