TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,11.2%,11,8.5%,10,6-3,7.3%,12,-5.1%,9,-1.2%,21
ATL,-8.6%,20,-2.9%,20,3-6,-0.5%,20,7.0%,22,-1.1%,20
BAL,17.2%,5,14.6%,6,6-3,-5.8%,24,-12.7%,6,10.2%,2
BUF,5.2%,13,4.9%,11,7-3,6.3%,13,3.6%,17,2.5%,9
CAR,2.0%,16,-1.3%,19,3-7,9.8%,7,9.8%,27,2.0%,11
CHI,0.0%,17,0.9%,16,5-5,-21.6%,29,-19.8%,3,1.9%,12
CIN,-26.0%,31,-21.9%,30,2-6-1,-15.6%,26,11.4%,30,1.0%,14
CLE,-8.8%,23,-6.9%,21,6-3,0.9%,17,3.6%,18,-6.1%,28
DAL,-21.0%,27,-18.5%,29,2-7,-16.9%,27,6.4%,20,2.3%,10
DEN,-29.6%,29,-22.5%,31,3-6,-30.0%,32,-3.4%,11,-3.0%,26
DET,-3.0%,21,-1.1%,18,4-5,5.8%,14,9.6%,25,0.7%,15
GB,16.0%,7,9.5%,9,7-2,21.1%,2,3.2%,16,-1.9%,24
HOU,-9.1%,18,-7.2%,22,2-7,0.9%,15,10.0%,28,0.0%,17
IND,23.1%,6,18.1%,5,6-3,0.4%,18,-18.8%,4,3.9%,6
JAX,-16.4%,30,-15.4%,28,1-8,-4.7%,23,13.2%,31,1.5%,13
KC,23.7%,3,23.8%,3,8-1,24.3%,1,-0.6%,14,-1.3%,22
LAC,-9.8%,19,-8.0%,23,2-7,7.5%,11,4.9%,19,-12.4%,32
LAR,14.5%,9,11.8%,8,6-3,14.4%,5,-7.4%,8,-7.2%,29
LV,2.5%,22,0.8%,17,6-3,8.6%,9,6.6%,21,0.5%,16
MIA,12.1%,10,3.5%,13,6-3,-0.2%,19,-1.6%,13,10.7%,1
MIN,4.3%,14,2.4%,14,4-5,8.1%,10,-4.6%,10,-8.4%,30
NE,-14.8%,26,-12.1%,26,4-5,-2.0%,22,16.6%,32,3.7%,7
NO,36.1%,1,30.1%,1,7-2,13.5%,6,-17.3%,5,5.4%,5
NYG,-15.4%,25,-11.8%,25,3-7,-12.4%,25,9.7%,26,6.8%,4
NYJ,-38.1%,32,-29.6%,32,0-9,-23.7%,31,10.5%,29,-4.0%,27
PHI,-23.0%,28,-11.3%,24,3-5-1,-20.7%,28,1.3%,15,-1.0%,19
PIT,25.0%,4,20.4%,4,9-0,0.9%,16,-20.4%,2,3.7%,8
SEA,15.7%,8,13.5%,7,6-3,16.0%,4,7.2%,23,6.9%,3
SF,2.3%,15,1.4%,15,4-6,-0.9%,21,-3.4%,12,-0.2%,18
TB,29.9%,2,24.9%,2,7-3,9.7%,8,-22.0%,1,-1.8%,23
TEN,2.2%,12,3.7%,12,6-3,20.8%,3,8.9%,24,-9.6%,31
WAS,-13.9%,24,-15.0%,27,2-7,-21.7%,30,-10.4%,7,-2.5%,25
