TEAM,TOTALDVOA,W-L,ESTIM.WINS,RANK,WDVOA,RANK.1,PASTSCHED,RANK.2,FUTURESCHED,RANK.3,VAR.,RANK.4
ARI,-3.3%,4-5,3.8,21,-3.4%,18,-6.3%,29,-16.4%,28,33.3%,1
ATL,-17.6%,3-6,3.3,26,-16.4%,24,-8.5%,31,6.7%,12,6.7%,25
BAL,-9.8%,4-5,3.5,23,-10.5%,21,-8.0%,30,26.7%,1,6.4%,26
BUF,-2.4%,5-4,4.7,16,1.0%,16,6.0%,2,14.6%,5,10.8%,14
CAR,-20.4%,4-5,3.4,24,-19.2%,26,-2.8%,25,7.5%,11,14.0%,10
CHI,-22.5%,4-5,3.3,27,-20.2%,27,0.8%,15,5.0%,13,4.7%,30
CIN,-0.3%,3-6,5.1,13,-0.6%,17,5.9%,4,-9.9%,24,3.8%,31
CLE,5.3%,5-4,5.2,8,7.6%,12,5.2%,8,-18.0%,30,9.0%,19
DAL,41.6%,8-1,7.2,3,41.8%,2,1.5%,14,-4.1%,20,8.1%,22
DEN,-6.0%,4-5,4.3,18,-8.1%,19,5.9%,3,-10.0%,25,19.2%,7
DET,-13.8%,6-3,4.2,19,-14.2%,22,-6.1%,27,16.1%,4,24.4%,4
GB,23.7%,8-1,6.4,4,23.7%,5,-1.0%,18,-16.4%,27,8.4%,21
HOU,-14.4%,4-5,3.6,22,-18.0%,25,-2.8%,24,12.0%,9,11.1%,13
IND,42.1%,7-2,8.5,2,40.3%,3,7.8%,1,-11.4%,26,10.4%,15
JAC,13.8%,6-3,5.9,6,14.3%,8,1.6%,13,2.9%,14,7.1%,23
KC,-16.4%,4-5,3.4,25,-15.0%,23,-2.4%,22,-2.2%,18,9.5%,18
MIA,-19.8%,0-9,2.9,28,-21.1%,28,5.2%,7,12.1%,8,5.9%,27
MIN,2.6%,3-6,4.9,15,2.2%,15,3.8%,11,-19.9%,31,23.3%,5
NE,73.2%,9-0,9.0,1,73.9%,1,5.8%,5,-2.3%,19,2.7%,32
NO,-12.4%,4-5,4.0,20,-8.7%,20,-2.7%,23,-9.2%,22,10.1%,16
NYG,6.7%,6-3,5.0,14,8.5%,11,0.0%,16,7.5%,10,5.7%,28
NYJ,-25.9%,1-8,2.6,29,-24.0%,29,5.3%,6,21.3%,2,5.1%,29
OAK,-35.3%,2-7,1.6,31,-34.1%,31,-6.2%,28,12.4%,7,12.1%,12
PHI,4.9%,4-5,5.1,12,3.0%,13,1.9%,12,16.5%,3,17.6%,8
PIT,32.8%,7-2,6.0,5,29.0%,4,-5.1%,26,-0.5%,15,31.6%,2
SD,14.7%,5-4,5.2,9,17.0%,7,4.7%,10,-9.4%,23,30.6%,3
SEA,12.1%,5-4,5.1,11,11.2%,9,-9.7%,32,-17.1%,29,13.4%,11
SF,-51.6%,2-7,1.1,32,-53.4%,32,-1.4%,20,-5.4%,21,7.0%,24
STL,-34.0%,1-8,1.9,30,-33.5%,30,-2.1%,21,-0.7%,16,14.3%,9
TB,18.1%,5-4,5.7,7,18.2%,6,-0.5%,17,-21.8%,32,21.9%,6
TEN,11.2%,6-3,5.2,10,11.1%,10,-1.2%,19,-1.0%,17,8.4%,20
WAS,3.3%,5-4,4.6,17,2.9%,14,5.1%,9,14.3%,6,9.7%,17
