Game,EGO,Spread,Spread Target,Pick
ARI @ CIN,-2.83,3.5,"[6.5, 4.5]",
CAR @ GB,-11.31,10.0,"[10.0, 7.5]",GB
CLE @ BAL,1.8,-2.0,"[2.0, -0.5]",
KC @ IND,-13.79,14.5,"[17.5, 15.5]",
MIA @ PHI,-7.41,9.5,"[11.0, 9.0]",MIA
NO @ HOU,-0.17,1.0,"[4.0, 1.5]",
NYG @ DET,2.84,-2.5,"[1.0, -1.5]",
SD @ JAC,-1.63,3.0,"[5.5, 3.0]",SD
OAK @ MIN,-9.95,4.5,"[8.5, 6.0]",
TB @ ATL,5.56,-3.0,"[-2.0, -4.0]",TB
PIT @ NYJ,9.9,-9.5,"[-6.0, -8.5]",
STL @ SF,2.21,-3.0,"[-3.5, -6.0]",
WAS @ DAL,-10.49,11.0,"[14.0, 12.0]",
CHI @ SEA,-8.94,5.5,"[7.5, 5.0]",SEA
NE @ BUF,14.67,-16.0,"[-16.0, -18.5]",BUF
TEN @ DEN,2.05,0.0,"[1.5, -0.5]",TEN
