Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+7.5 / -7.5,CAR,CLE,-,+7.5 / -7.5
+9.5 / -9.5,CIN,NYJ,-,+9.5 / -9.5
+2.0 / -2.0,GNB,ATL,-,+2.0 / -2.0
+7.5 / -7.5,JAX,NYG,-,+7.5 / -7.5
-2.0 / 2.0,KAN,SEA,-,-2.0 / 2.0
+3.0 / -3.0,MIA,OAK,-,+3.0 / -3.0
-2.5 / 2.5,MIN,WAS,-,-2.5 / 2.5
-4.5 / 4.5,NOR,DAL,-,-4.5 / 4.5
-7.5 / 7.5,NWE,DET,-,-7.5 / 7.5
-3.5 / 3.5,PHI,CHI,-,-3.5 / 3.5
-7.0 / 7.0,PIT,BUF,-,-7.0 / 7.0
+2.0 / -2.0,SDG,IND,-,+2.0 / -2.0
-2.0 / 2.0,SFO,ARI,-,-2.0 / 2.0
+3.0 / -3.0,STL,DEN,-,+3.0 / -3.0
+7.5 / -7.5,TAM,BAL,-,+7.5 / -7.5
+5.0 / -5.0,TEN,HOU,-,+5.0 / -5.0
