Game,EGO,Spread,Spread Target,Pick
NE @ DET,5.75,-7.5,"[-7.0, -9.5]",DET
NO @ DAL,3.7,-4.5,"[-5.0, -7.5]",
CIN @ NYJ,-6.26,9.5,"[10.0, 8.0]",CIN
GB @ ATL,0.52,2.0,"[3.0, 1.0]",GB
JAC @ NYG,-8.69,7.5,"[7.0, 5.0]",
MIN @ WAS,-4.05,-2.5,"[2.5, 0.5]",
PIT @ BUF,9.35,-7.0,"[-5.5, -8.0]",PIT
TEN @ HOU,3.47,5.0,"[0.0, -2.0]",
CAR @ CLE,-13.85,7.5,"[12.5, 10.0]",
MIA @ OAK,3.75,3.0,"[-0.0, -2.0]",
KC @ SEA,3.63,-2.0,"[0.0, -2.0]",KC
PHI @ CHI,7.89,-3.5,"[-4.0, -6.5]",
TB @ BAL,-6.62,7.5,"[10.5, 8.0]",
STL @ DEN,-2.73,3.0,"[6.5, 4.0]",
SD @ IND,-0.84,2.0,"[4.5, 2.5]",
SF @ ARI,4.76,-2.0,"[-1.0, -3.5]",SF
