TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-35.9%,31,-36.1%,31,3-7,-28.6%,31,10.7%,25,3.4%,6
ATL,14.6%,10,13.0%,9,8-2,18.1%,7,4.9%,19,1.4%,13
BAL,18.4%,8,20.4%,7,7-3,12.5%,10,-2.5%,9,3.3%,7
BUF,-18.4%,30,-17.6%,27,2-8,0.3%,21,20.2%,30,1.5%,11
CAR,-45.4%,32,-45.5%,32,1-9,-42.5%,32,3.2%,17,0.4%,15
CHI,-8.1%,24,-9.2%,22,7-3,-23.8%,30,-9.3%,6,6.4%,3
CIN,-7.1%,18,-7.8%,20,2-8,-0.5%,23,3.6%,18,-2.9%,27
CLE,8.6%,14,10.1%,13,3-7,4.2%,18,-1.3%,10,3.2%,8
DAL,-15.1%,27,-17.9%,29,3-7,0.5%,20,17.0%,28,1.4%,12
DEN,-15.0%,23,-14.4%,25,3-7,11.6%,11,23.1%,31,-3.5%,29
DET,-8.6%,21,-7.7%,19,2-8,-6.3%,24,3.2%,16,0.9%,14
GB,25.9%,5,25.4%,4,7-3,18.3%,6,-10.9%,4,-3.4%,28
HOU,-1.5%,16,-0.4%,17,4-6,29.0%,3,29.7%,32,-0.8%,20
IND,12.0%,9,11.7%,11,6-4,18.6%,5,2.3%,14,-4.3%,30
JAC,-10.4%,22,-8.4%,21,6-4,4.1%,19,19.5%,29,5.1%,4
KC,3.3%,15,-0.4%,16,6-4,9.6%,13,6.0%,21,-0.4%,18
MIA,11.6%,11,12.3%,10,5-5,12.5%,9,0.9%,13,0.0%,17
MIN,-17.2%,26,-17.8%,28,3-7,-9.4%,26,6.1%,22,-1.7%,24
NE,26.9%,4,27.7%,3,8-2,40.7%,1,16.8%,27,3.0%,9
NO,8.2%,13,8.6%,14,7-3,9.2%,14,-1.3%,11,-2.3%,26
NYG,19.0%,6,21.8%,6,6-4,10.2%,12,-14.3%,2,-5.5%,31
NYJ,13.6%,12,10.9%,12,8-2,6.2%,17,-3.3%,8,4.1%,5
OAK,-17.8%,19,-14.4%,24,5-5,-14.9%,29,2.4%,15,-0.6%,19
PHI,35.1%,1,35.4%,1,7-3,30.2%,2,-6.9%,7,-2.0%,25
PIT,34.2%,3,33.1%,2,7-3,14.0%,8,-17.5%,1,2.7%,10
SD,15.8%,7,18.0%,8,5-5,19.3%,4,-11.2%,3,-14.7%,32
SEA,-22.5%,29,-26.6%,30,5-5,-13.8%,28,15.6%,26,7.0%,1
SF,-8.7%,17,-5.0%,18,3-7,-9.1%,25,-0.1%,12,0.3%,16
STL,-18.0%,28,-16.7%,26,4-6,-11.4%,27,5.5%,20,-1.1%,23
TB,-0.3%,20,0.0%,15,7-3,7.8%,15,7.1%,23,-1.0%,22
TEN,24.2%,2,25.1%,5,5-5,7.7%,16,-10.1%,5,6.4%,2
WAS,-10.8%,25,-9.4%,23,5-5,-0.4%,22,9.4%,24,-1.0%,21
