Game,EGO,Spread,Spread Target,Pick
CHI @ DET,-5.77,7.0,"[9.5, 7.5]",
PHI @ DAL,-1.26,3.5,"[5.0, 3.0]",PHI
SEA @ SF,-0.5,1.5,"[4.0, 2.0]",
OAK @ STL,-3.1,6.0,"[7.0, 4.5]",OAK
CAR @ MIN,-3.77,2.5,"[2.5, 0.0]",MIN
CIN @ TB,4.34,-6.0,"[-6.0, -8.0]",TB
CLE @ BUF,-5.28,3.0,"[4.0, 1.5]",BUF
NO @ PIT,-3.4,3.5,"[7.0, 5.0]",
SD @ BAL,-7.18,6.5,"[5.5, 3.5]",
TEN @ HOU,-4.83,7.0,"[8.5, 6.5]",TEN
WAS @ IND,-7.89,8.5,"[11.5, 9.5]",
NYG @ JAC,-0.1,-3.0,"[-1.5, -3.5]",JAC
ARI @ ATL,-0.01,-1.5,"[-1.5, -3.5]",ATL
NE @ GB,-1.28,3.0,"[5.0, 3.0]",NE
DEN @ KC,2.41,0.0,"[1.5, -1.0]",DEN
MIA @ NYJ,7.09,-7.0,"[-3.5, -5.5]",
