Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD
2014,ARI,ATL,13,Sun,4:05PM,0,1.0%,-1.5,-11,-12.5
2014,ATL,ARI,13,Sun,4:05PM,1,-9.0%,1.5,11,12.5
2014,BAL,SD,13,Sun,1:02PM,1,23.2%,-6.5,-1,-7.5
2014,BUF,CLE,13,Sun,1:02PM,1,9.6%,-3.0,16,13.0
2014,CAR,MIN,13,Sun,1:02PM,0,-20.3%,2.5,-18,-15.5
2014,CHI,DET,13,Thu,12:39PM,0,-12.7%,7.0,-17,-10.0
2014,CIN,TB,13,Sun,1:02PM,0,0.8%,-6.0,1,-5.0
2014,CLE,BUF,13,Sun,1:02PM,0,-4.5%,3.0,-16,-13.0
2014,DAL,PHI,13,Thu,4:36PM,1,8.9%,-3.5,-23,-26.5
2014,DEN,KC,13,Sun,8:32PM,0,35.0%,0.0,13,13.0
2014,DET,CHI,13,Thu,12:39PM,1,3.7%,-7.0,17,10.0
2014,GB,NE,13,Sun,4:25PM,1,25.4%,-3.0,5,2.0
2014,HOU,TEN,13,Sun,1:02PM,1,-9.2%,-7.0,24,17.0
2014,IND,WAS,13,Sun,1:02PM,1,6.8%,-8.5,22,13.5
2014,JAC,NYG,13,Sun,1:03PM,1,-27.7%,3.0,1,4.0
2014,KC,DEN,13,Sun,8:32PM,1,14.2%,-0.0,-13,-13.0
2014,MIA,NYJ,13,Mon,8:30PM,0,21.3%,-7.0,3,-4.0
2014,MIN,CAR,13,Sun,1:02PM,1,-13.2%,-2.5,18,15.5
2014,NE,GB,13,Sun,4:25PM,0,29.7%,3.0,-5,-2.0
2014,NO,PIT,13,Sun,1:02PM,0,2.0%,3.5,3,6.5
2014,NYG,JAC,13,Sun,1:03PM,0,-18.1%,-3.0,-1,-4.0
2014,NYJ,MIA,13,Mon,8:30PM,1,-19.9%,7.0,-3,4.0
2014,OAK,STL,13,Sun,1:00PM,0,-17.1%,6.0,-52,-46.0
2014,PHI,DAL,13,Thu,4:36PM,0,13.3%,3.5,23,26.5
2014,PIT,NO,13,Sun,1:02PM,1,7.4%,-3.5,-3,-6.5
2014,SD,BAL,13,Sun,1:02PM,0,0.2%,6.5,1,7.5
2014,SEA,SF,13,Thu,8:31PM,0,16.0%,1.5,16,17.5
2014,SF,SEA,13,Thu,8:31PM,1,8.2%,-1.5,-16,-17.5
2014,STL,OAK,13,Sun,1:00PM,1,-13.1%,-6.0,52,46.0
2014,TB,CIN,13,Sun,1:02PM,1,-28.5%,6.0,-1,5.0
2014,TEN,HOU,13,Sun,1:02PM,0,-21.2%,7.0,-24,-17.0
2014,WAS,IND,13,Sun,1:02PM,0,-19.6%,8.5,-22,-13.5
